ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,6,15,0.53,24,84,10.7
1,19,1,0.54,6,66,10.8
2,12,11,0.52,61,121,11.8
3,21,6,0.52,42,102,11.3
4,13,14,0.6,0,60,11.3
5,16,2,0.55,4,64,10.2
6,4,5,0.6,120,180,10.3
7,21,2,0.57,98,158,11.4
8,20,20,0.59,73,133,10.3
9,22,7,0.57,117,177,11.6
10,20,12,0.56,75,135,11.7
11,15,21,0.53,102,162,10.8
12,22,2,0.5,41,101,11.7
13,29,19,0.52,87,147,10.8
14,23,18,0.54,57,117,11.2
15,6,24,0.52,27,87,10.1
16,18,5,0.53,86,146,10.6
17,1,29,0.57,107,167,11.6
18,23,21,0.55,1,61,11.9
19,3,3,0.59,97,157,11.2
