ID,x,y,workerRge,W_uptime,W_downtime
0,3,25,0.3,82,142
1,8,24,0.22,21,81
2,11,7,0.26,77,137
3,9,29,0.3,90,150
4,28,25,0.25,16,76
5,20,1,0.27,69,129
6,17,17,0.3,107,167
7,4,13,0.29,27,87
8,17,1,0.26,16,76
9,28,26,0.28,104,164
10,15,1,0.2,113,173
11,28,21,0.28,54,114
12,20,17,0.21,48,108
13,25,0,0.24,107,167
14,28,28,0.23,10,70
15,19,17,0.22,14,74
16,4,15,0.27,97,157
17,29,8,0.29,58,118
18,12,26,0.28,75,135
19,23,7,0.23,61,121
20,4,4,0.29,118,178
21,11,6,0.27,71,131
22,8,29,0.24,3,63
23,7,2,0.28,118,178
24,22,17,0.23,114,174
25,1,11,0.2,117,177
26,5,1,0.26,77,137
27,10,10,0.3,36,96
28,4,29,0.22,90,150
29,23,8,0.3,101,161
30,28,15,0.2,88,148
31,0,12,0.21,78,138
32,23,14,0.28,7,67
33,3,19,0.27,29,89
34,26,1,0.21,115,175
35,13,23,0.21,30,90
36,21,20,0.23,47,107
37,7,19,0.25,21,81
38,6,19,0.28,33,93
39,8,19,0.29,93,153
40,23,17,0.22,105,165
41,7,13,0.27,24,84
42,11,12,0.24,68,128
43,17,25,0.22,99,159
44,25,1,0.3,85,145
45,15,15,0.22,67,127
46,20,29,0.26,21,81
47,4,28,0.29,61,121
48,12,10,0.28,69,129
49,1,22,0.22,108,168
