data,DecideTime,AllTime,AvgComplete,MaxComplete,Cost
BicycleOrder,5min,3h,0.9131,0.9293,53.2375
BicycleOrder,10min,3h,0.8717,0.899,250.9438
BicycleOrder,15min,3h,0.7121,0.7273,207.0858
TaxiTrajectories,5min,3h,0.7118,0.7255,114.2842
TaxiTrajectories,10min,3h,0.6951,0.7157,163.672
TaxiTrajectories,15min,3h,0.598,0.598,411.601
DidiOrders,5min,3h,0.8676,0.8824,8.6113
DidiOrders,10min,3h,0.7794,0.7941,24.4352
DidiOrders,15min,3h,0.6176,0.6176,35.4655
Random_1,5min,3h,0.7717,0.7917,33.2796
Random_1,10min,3h,0.7375,0.7667,120.0561
Random_1,15min,3h,0.6817,0.7167,68.4958
BicycleOrder,5min,2h,0.4343,0.4343,609.6659
BicycleOrder,5min,3h,0.9131,0.9293,53.2375
BicycleOrder,5min,4h,1,1,681.7479
TaxiTrajectories,5min,2h,0.3627,0.3627,767.3521
TaxiTrajectories,5min,3h,0.7118,0.7255,114.2842
TaxiTrajectories,5min,4h,0.9314,0.9314,896.2952
DidiOrders,5min,2h,0.4706,0.5,41.0527
DidiOrders,5min,3h,0.8676,0.8824,8.6113
DidiOrders,5min,4h,1,1,52.2577
