ID,x,y,T_costPow
0,20,1,3.5
1,0,24,3.1
2,5,1,3.6
3,15,12,3.9
4,4,21,3.5
5,0,28,3.6
6,26,19,3.3
7,0,23,3.3
8,26,21,3.1
9,11,10,3.5
10,17,7,3.8
11,23,22,3.6
12,22,13,3.2
13,26,26,3.6
14,9,20,3.5
15,0,6,3.9
16,5,9,3.5
17,15,1,3.6
18,0,4,3.5
19,21,15,3.8
20,19,19,3.6
21,5,21,3.2
22,2,15,3.6
23,5,23,3.5
24,4,9,3.9
25,15,24,3.5
26,4,17,3.6
27,15,25,3.7
28,5,26,3.1
29,29,8,3.8
30,23,24,3.5
31,21,21,3.8
32,19,28,3.6
33,22,20,3.2
34,4,13,3.6
35,24,29,3.5
36,25,29,3.9
37,0,15,3.5
38,7,25,3.6
39,27,16,3.5
40,4,24,3.8
41,9,22,3.6
42,24,14,3.2
43,21,27,3.6
44,9,7,3.5
45,5,8,3.6
46,24,13,3.5
47,10,7,3.8
48,8,1,3.6
49,3,22,3.2
50,3,29,3.6
51,14,9,3.2
52,3,28,3.6
53,7,3,3.5
54,3,25,3.2
55,10,3,3.9
56,19,19,3.5
57,4,15,3.6
58,0,17,3.5
59,20,7,3.8
60,11,9,3.6
61,17,10,3.9
62,2,11,3.5
63,27,7,3.6
64,20,1,3.5
65,29,2,3.8
66,18,9,3.2
67,19,27,3.6
68,9,20,3.5
69,5,6,3.9
70,16,5,3.5
71,13,2,3.9
72,18,6,3.5
73,28,12,3.6
74,13,12,3.5
75,1,21,3.9
76,27,10,3.5
77,23,9,3.2
78,28,29,3.6
79,18,14,3.5
