ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,24,9,0.84,22,21,4,44
1,10,13,0.83,25,25,138,178
2,15,16,0.9,29,23,127,167
3,16,23,0.81,25,19,13,53
4,17,16,0.83,20,20,45,85
5,10,3,0.82,22,22,73,113
6,3,23,0.85,28,25,120,160
7,28,14,0.84,21,19,75,115
8,13,0,0.83,27,25,63,103
9,4,6,0.87,27,23,76,116
10,21,9,0.87,24,20,31,71
11,14,22,0.83,21,20,18,58
12,25,14,0.84,21,19,16,56
13,7,3,0.83,26,26,75,115
14,10,18,0.81,22,22,48,88
15,27,24,0.89,22,21,4,44
16,3,5,0.84,25,25,98,138
17,9,11,0.8,26,19,22,62
18,12,12,0.87,21,19,105,145
19,3,0,0.8,28,27,38,78
20,22,3,0.84,27,22,37,77
21,0,12,0.86,21,19,114,154
22,25,6,0.84,30,29,71,111
23,8,18,0.83,28,27,121,161
24,16,10,0.8,25,22,121,161
25,7,21,0.82,22,22,137,177
26,7,21,0.81,20,19,112,152
27,24,13,0.89,23,20,104,144
28,15,27,0.84,23,19,3,43
29,22,3,0.82,22,19,117,157
