ID,x,y,workerRge,W_uptime,W_downtime
0,29,28,0.27,27,87
1,23,21,0.28,30,90
2,2,15,0.23,39,99
3,1,3,0.28,44,104
4,18,13,0.26,28,88
5,6,24,0.25,40,100
6,9,24,0.28,113,173
7,21,20,0.28,75,135
8,6,16,0.21,13,73
9,24,3,0.28,91,151
10,23,14,0.25,51,111
11,7,17,0.21,18,78
12,16,10,0.2,78,138
13,21,27,0.23,48,108
14,4,6,0.26,53,113
15,22,4,0.25,43,103
16,7,22,0.29,9,69
17,2,9,0.22,68,128
18,25,16,0.27,40,100
19,22,4,0.2,116,176
20,2,24,0.27,50,110
21,18,21,0.21,48,108
22,13,21,0.22,90,150
23,13,25,0.23,12,72
24,9,4,0.28,119,179
25,5,19,0.28,70,130
26,13,20,0.22,85,145
27,20,6,0.28,14,74
28,27,15,0.24,90,150
29,6,25,0.22,42,102
30,14,9,0.23,49,109
31,15,2,0.2,40,100
32,4,8,0.28,65,125
33,21,29,0.27,96,156
34,2,20,0.21,17,77
35,5,0,0.29,13,73
36,7,29,0.27,13,73
37,17,20,0.26,30,90
38,11,18,0.3,114,174
39,7,3,0.29,87,147
40,13,17,0.25,31,91
41,7,6,0.22,99,159
42,16,10,0.29,55,115
43,2,21,0.23,52,112
44,28,19,0.29,89,149
45,20,12,0.27,102,162
46,28,9,0.2,97,157
47,11,6,0.21,44,104
48,0,1,0.28,47,107
49,25,19,0.24,25,85
