ID,x,y,workerRge,W_uptime,W_downtime
0,7,20,0.23,2,62
1,23,2,0.27,5,65
2,11,11,0.25,11,71
3,6,16,0.21,12,72
4,9,21,0.23,12,72
5,21,14,0.29,13,73
6,15,6,0.24,15,75
7,4,20,0.24,18,78
8,13,26,0.3,18,78
9,13,29,0.23,21,81
10,21,26,0.3,26,86
11,22,10,0.2,29,89
12,2,0,0.25,31,91
13,21,14,0.26,40,100
14,21,13,0.22,42,102
15,18,13,0.25,43,103
16,3,14,0.21,44,104
17,24,3,0.26,49,109
18,12,18,0.22,54,114
19,25,26,0.25,55,115
20,23,23,0.27,57,117
21,27,18,0.29,61,121
22,1,16,0.3,63,123
23,14,13,0.27,65,125
24,11,4,0.23,68,128
25,25,15,0.28,69,129
26,24,12,0.3,72,132
27,17,27,0.23,73,133
28,7,7,0.28,74,134
29,28,13,0.3,81,141
30,3,2,0.25,83,143
31,11,16,0.28,85,145
32,2,5,0.25,86,146
33,25,21,0.24,86,146
34,7,21,0.29,87,147
35,5,7,0.29,88,148
36,15,27,0.22,88,148
37,18,3,0.24,95,155
38,28,22,0.21,97,157
39,11,7,0.24,99,159
40,20,5,0.27,100,160
41,10,24,0.24,105,165
42,1,3,0.25,109,169
43,23,7,0.23,111,171
44,17,20,0.29,111,171
45,23,13,0.21,112,172
46,12,18,0.29,113,173
47,20,27,0.29,115,175
48,1,3,0.3,116,176
49,28,7,0.25,118,178
