ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,10,20,0.82,22,21,2,62
1,23,0,0.88,25,20,7,67
2,9,20,0.86,27,27,13,73
3,23,9,0.87,28,19,21,81
4,13,24,0.89,22,19,24,84
5,20,16,0.84,23,23,25,85
6,1,11,0.86,22,22,28,88
7,2,25,0.89,23,22,37,97
8,21,28,0.86,22,22,44,104
9,2,14,0.86,20,20,44,104
10,23,13,0.84,21,20,46,106
11,4,10,0.87,21,21,47,107
12,22,6,0.89,30,27,49,109
13,21,12,0.83,21,19,52,112
14,25,25,0.88,23,23,60,120
15,14,2,0.89,29,20,65,125
16,7,19,0.81,21,19,69,129
17,21,5,0.9,29,22,73,133
18,3,4,0.82,23,19,81,141
19,7,7,0.82,29,25,88,148
20,16,25,0.84,29,29,96,156
21,26,6,0.86,22,19,98,158
22,10,24,0.83,21,20,101,161
23,25,13,0.85,21,19,104,164
24,2,18,0.9,21,20,111,171
25,12,19,0.84,22,20,111,171
26,2,3,0.82,29,20,114,174
27,24,27,0.82,27,26,115,175
28,5,28,0.8,21,20,115,175
29,28,7,0.86,22,22,116,176
