ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,20,4,0.53,87,147,6.6
1,19,10,0.55,9,69,7.4
2,13,27,0.57,78,138,7.5
3,13,6,0.59,75,135,6.6
4,13,20,0.58,114,174,6.8
5,17,23,0.57,113,173,6.7
6,5,26,0.58,63,123,7.3
7,29,26,0.58,11,71,7.5
8,29,28,0.55,110,170,7.5
9,29,19,0.54,95,155,7.1
10,19,4,0.59,102,162,6.6
11,19,25,0.57,74,134,7.9
12,17,6,0.57,73,133,6.1
13,12,15,0.51,90,150,7.1
14,4,17,0.57,86,146,7.4
15,14,12,0.57,69,129,7.7
16,13,5,0.52,42,102,7.0
17,15,3,0.52,110,170,7.3
18,0,13,0.58,31,91,6.8
19,23,0,0.58,67,127,7.1
