ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,9,4,0.88,22,20,111,171
1,12,22,0.87,26,24,31,91
2,16,29,0.84,27,25,1,61
3,12,14,0.85,30,23,91,151
4,3,4,0.82,26,26,62,122
5,15,4,0.84,25,24,8,68
6,27,13,0.85,23,21,79,139
7,5,21,0.88,28,24,4,64
8,29,6,0.87,21,20,43,103
9,25,21,0.85,26,25,91,151
10,2,6,0.89,28,24,57,117
11,21,0,0.81,27,22,104,164
12,6,22,0.87,20,20,53,113
13,29,4,0.84,30,22,36,96
14,26,0,0.85,26,24,80,140
15,14,29,0.88,26,20,71,131
16,13,28,0.86,27,19,9,69
17,11,12,0.87,24,19,91,151
18,18,24,0.88,22,19,57,117
19,7,12,0.84,20,19,30,90
20,23,19,0.89,30,30,113,173
21,27,10,0.89,21,21,115,175
22,26,24,0.87,21,20,50,110
23,9,5,0.84,28,27,91,151
24,19,24,0.89,21,21,56,116
25,4,0,0.83,30,27,8,68
26,22,11,0.87,26,19,99,159
27,28,4,0.84,29,23,88,148
28,9,7,0.84,24,23,68,128
29,28,7,0.9,20,20,23,83
