ID,x,y,workerRge,W_uptime,W_downtime
0,7,10,0.29,64,124
1,13,18,0.28,2,62
2,23,27,0.23,8,68
3,25,11,0.21,12,72
4,29,17,0.28,77,137
5,1,20,0.26,36,96
6,18,4,0.21,88,148
7,25,0,0.29,101,161
8,20,12,0.28,76,136
9,12,1,0.26,64,124
10,11,29,0.28,114,174
11,14,20,0.23,100,160
12,2,10,0.21,20,80
13,8,18,0.24,68,128
14,23,13,0.22,22,82
15,22,17,0.21,69,129
16,0,18,0.22,20,80
17,27,13,0.25,87,147
18,2,20,0.29,100,160
19,27,20,0.22,108,168
20,0,26,0.23,58,118
21,19,0,0.27,52,112
22,16,2,0.23,84,144
23,28,5,0.29,63,123
24,12,9,0.22,118,178
25,20,21,0.25,86,146
26,11,9,0.28,40,100
27,10,6,0.22,20,80
28,10,21,0.25,96,156
29,17,28,0.24,113,173
30,15,23,0.23,8,68
31,3,28,0.21,9,69
32,28,7,0.22,78,138
33,6,21,0.2,89,149
34,22,14,0.26,21,81
35,22,21,0.23,46,106
36,17,22,0.2,50,110
37,16,29,0.27,99,159
38,5,24,0.21,99,159
39,26,9,0.21,117,177
40,2,23,0.22,78,138
41,3,24,0.29,41,101
42,19,15,0.24,108,168
43,17,11,0.29,53,113
44,9,28,0.27,41,101
45,6,2,0.23,101,161
46,14,4,0.27,13,73
47,26,14,0.29,94,154
48,5,14,0.28,54,114
49,5,13,0.25,83,143
