ID,x,y,T_costPow
0,26,28,3
1,25,17,3
2,29,25,3
3,19,2,3
4,24,7,3
5,25,14,3
6,29,24,3
7,6,20,3
8,13,25,3
9,12,9,3
10,16,21,3
11,9,6,3
12,24,0,3
13,19,1,3
14,5,2,3
15,29,8,3
16,7,8,3
17,18,4,3
18,24,8,3
19,16,14,3
20,1,20,3
21,7,7,3
22,3,16,3
23,23,15,3
24,29,7,3
25,14,4,3
26,20,0,3
27,8,10,3
28,15,29,3
29,21,20,3
30,13,18,3
31,2,29,3
32,18,20,3
33,29,25,3
34,21,29,3
35,26,0,3
36,10,17,3
37,11,19,3
38,3,15,3
39,26,2,3
40,25,0,3
41,27,8,3
42,1,12,3
43,10,0,3
44,2,9,3
45,0,3,3
46,2,17,3
47,3,19,3
48,16,3,3
49,12,7,3
50,25,23,3
51,7,14,3
52,22,27,3
53,24,2,3
54,28,6,3
55,3,16,3
56,8,2,3
57,29,4,3
58,26,4,3
59,19,3,3
60,1,13,3
61,1,1,3
62,6,21,3
63,0,7,3
64,9,2,3
65,14,4,3
66,15,5,3
67,15,29,3
68,17,14,3
69,22,4,3
70,6,6,3
71,9,10,3
72,27,27,3
73,4,1,3
74,15,13,3
75,29,27,3
76,5,19,3
77,4,22,3
78,19,14,3
79,20,11,3
