ID,x,y,workerRge,W_uptime,W_downtime
0,2,5,0.22,37,97
1,2,17,0.22,71,131
2,22,11,0.22,33,93
3,14,11,0.22,40,100
4,18,8,0.23,70,130
5,5,0,0.22,97,157
6,9,24,0.2,53,113
7,26,11,0.24,47,107
8,29,12,0.28,24,84
9,12,12,0.23,73,133
10,4,7,0.28,65,125
11,8,15,0.21,59,119
12,28,7,0.27,91,151
13,1,9,0.27,86,146
14,10,18,0.27,77,137
15,24,22,0.29,23,83
16,1,11,0.21,24,84
17,21,6,0.29,47,107
18,10,25,0.22,96,156
19,9,7,0.25,112,172
20,0,22,0.3,101,161
21,1,5,0.27,105,165
22,4,25,0.23,56,116
23,15,13,0.21,42,102
24,18,6,0.23,28,88
25,29,26,0.23,119,179
26,17,19,0.28,7,67
27,18,1,0.22,73,133
28,13,22,0.29,106,166
29,23,23,0.26,20,80
30,9,7,0.25,64,124
31,12,10,0.24,107,167
32,8,21,0.27,69,129
33,5,11,0.3,120,180
34,13,27,0.23,11,71
35,8,6,0.23,95,155
36,25,21,0.28,4,64
37,20,15,0.28,98,158
38,11,23,0.25,101,161
39,2,10,0.29,7,67
40,18,25,0.29,53,113
41,15,6,0.23,69,129
42,5,4,0.24,73,133
43,1,20,0.24,67,127
44,8,4,0.22,104,164
45,10,28,0.22,116,176
46,19,25,0.23,110,170
47,28,5,0.25,63,123
48,13,29,0.2,64,124
49,2,27,0.24,19,79
