ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,7,24,0.52,115,175,10
1,17,8,0.51,58,118,10
2,29,2,0.59,99,159,10
3,21,17,0.54,76,136,10
4,8,18,0.5,80,140,10
5,14,18,0.59,67,127,10
6,3,0,0.58,87,147,10
7,24,21,0.57,34,94,10
8,25,7,0.59,12,72,10
9,10,14,0.56,89,149,10
10,3,10,0.57,103,163,10
11,10,27,0.58,2,62,10
12,27,16,0.51,83,143,10
13,22,29,0.56,82,142,10
14,24,21,0.52,66,126,10
15,26,27,0.54,97,157,10
16,24,25,0.5,22,82,10
17,13,15,0.56,65,125,10
18,9,11,0.59,66,126,10
19,9,3,0.56,27,87,10
