ID,x,y,T_costPow
0,15,11,3
1,26,3,3
2,17,6,3
3,20,15,3
4,5,25,3
5,25,19,3
6,25,6,3
7,10,4,3
8,5,18,3
9,28,21,3
10,23,26,3
11,11,5,3
12,18,20,3
13,14,26,3
14,27,11,3
15,8,14,3
16,25,1,3
17,29,16,3
18,29,0,3
19,24,6,3
20,4,10,3
21,18,3,3
22,3,21,3
23,25,26,3
24,5,17,3
25,25,26,3
26,19,8,3
27,23,16,3
28,8,9,3
29,27,8,3
30,2,17,3
31,18,29,3
32,15,8,3
33,14,15,3
34,4,3,3
35,5,26,3
36,25,14,3
37,5,13,3
38,0,7,3
39,4,8,3
40,20,19,3
41,19,6,3
42,11,5,3
43,20,23,3
44,20,3,3
45,12,0,3
46,17,26,3
47,8,24,3
48,24,29,3
49,11,29,3
50,11,0,3
51,10,21,3
52,7,15,3
53,13,2,3
54,10,22,3
55,5,6,3
56,7,18,3
57,24,2,3
58,20,8,3
59,13,10,3
