ID,x,y,T_costPow
0,21,5,3
1,8,17,3
2,12,0,3
3,29,24,3
4,12,29,3
5,18,21,3
6,10,27,3
7,0,8,3
8,12,34,3
9,24,16,3
10,38,6,3
11,25,4,3
12,8,35,3
13,14,12,3
14,8,19,3
15,32,0,3
16,2,1,3
17,15,10,3
18,33,35,3
19,18,27,3
20,37,14,3
21,23,15,3
22,16,27,3
23,31,21,3
24,30,21,3
25,11,28,3
26,33,15,3
27,0,2,3
28,27,21,3
29,9,12,3
30,26,10,3
31,32,3,3
32,38,8,3
33,34,14,3
34,13,8,3
35,36,13,3
36,28,38,3
37,15,39,3
38,1,22,3
39,29,21,3
40,34,37,3
41,30,2,3
42,11,18,3
43,20,23,3
44,34,2,3
45,36,4,3
46,13,21,3
47,23,38,3
48,15,8,3
49,9,20,3
50,17,34,3
51,26,32,3
52,14,29,3
53,30,24,3
54,38,26,3
55,10,21,3
56,22,31,3
57,38,1,3
58,36,16,3
59,10,23,3
60,9,38,3
61,13,5,3
62,33,34,3
63,10,13,3
64,13,39,3
65,4,27,3
66,31,17,3
67,31,16,3
68,18,32,3
69,21,6,3
70,28,22,3
71,38,36,3
72,21,9,3
73,13,38,3
74,36,33,3
75,1,39,3
76,21,38,3
77,36,33,3
78,36,16,3
79,4,34,3
