ID,x,y,T_costPow
0,3,16,3
1,28,26,3
2,16,13,3
3,27,18,3
4,4,21,3
5,0,15,3
6,12,12,3
7,3,29,3
8,15,23,3
9,18,16,3
10,7,29,3
11,5,3,3
12,6,3,3
13,6,20,3
14,28,3,3
15,10,14,3
16,28,16,3
17,23,19,3
18,0,8,3
19,29,4,3
20,20,3,3
21,24,15,3
22,0,28,3
23,10,28,3
24,25,25,3
25,7,15,3
26,20,7,3
27,29,12,3
28,12,12,3
29,23,18,3
30,2,19,3
31,11,12,3
32,11,14,3
33,25,11,3
34,12,5,3
35,15,10,3
36,9,21,3
37,5,2,3
38,15,10,3
39,8,24,3
40,20,14,3
41,6,0,3
42,17,1,3
43,3,28,3
44,20,2,3
45,7,7,3
46,5,4,3
47,10,0,3
48,4,8,3
49,20,10,3
50,25,7,3
51,10,20,3
52,3,16,3
53,8,24,3
54,21,29,3
55,14,28,3
56,22,12,3
57,29,15,3
58,20,9,3
59,7,3,3
60,22,17,3
61,12,28,3
62,6,1,3
63,20,12,3
64,17,19,3
65,16,2,3
66,15,28,3
67,1,16,3
68,28,25,3
69,2,18,3
70,6,17,3
71,26,22,3
72,22,14,3
73,4,19,3
74,29,14,3
75,17,22,3
76,14,22,3
77,28,0,3
78,13,6,3
79,29,10,3
