ID,x,y,workerRge,W_uptime,W_downtime
0,3,9,0.26,84,144
1,17,4,0.25,1,61
2,12,27,0.29,88,148
3,8,25,0.22,53,113
4,2,13,0.27,80,140
5,4,2,0.2,106,166
6,9,10,0.29,77,137
7,16,3,0.27,107,167
8,21,22,0.28,94,154
9,4,2,0.29,78,138
10,1,12,0.2,93,153
11,8,7,0.25,34,94
12,12,25,0.23,14,74
13,26,21,0.27,118,178
14,22,2,0.24,78,138
15,27,25,0.29,115,175
16,4,23,0.23,87,147
17,14,12,0.23,13,73
18,27,27,0.25,89,149
19,9,27,0.25,98,158
20,23,10,0.2,107,167
21,9,2,0.27,82,142
22,13,2,0.28,81,141
23,5,17,0.22,42,102
24,15,7,0.26,78,138
25,29,10,0.26,20,80
26,1,17,0.29,91,151
27,21,22,0.21,14,74
28,19,0,0.24,83,143
29,9,19,0.2,97,157
30,2,6,0.25,102,162
31,27,5,0.26,2,62
32,16,12,0.27,30,90
33,2,13,0.26,21,81
34,7,11,0.23,99,159
35,29,20,0.26,61,121
36,4,10,0.21,86,146
37,2,10,0.25,0,60
38,13,14,0.2,10,70
39,15,26,0.21,6,66
40,1,5,0.24,81,141
41,4,5,0.22,88,148
42,9,7,0.29,9,69
43,10,26,0.27,72,132
44,9,25,0.22,8,68
45,21,4,0.22,54,114
46,24,0,0.21,75,135
47,16,15,0.22,17,77
48,29,7,0.24,76,136
49,15,20,0.23,75,135
50,22,15,0.3,39,99
51,17,9,0.25,25,85
52,20,9,0.23,49,109
53,25,8,0.2,68,128
54,26,10,0.3,119,179
55,22,2,0.21,91,151
56,20,28,0.28,65,125
57,15,25,0.29,66,126
58,10,28,0.21,115,175
59,2,5,0.3,56,116
60,11,8,0.23,53,113
61,0,29,0.23,76,136
62,17,14,0.3,93,153
63,28,21,0.28,21,81
64,8,4,0.24,74,134
65,7,3,0.26,64,124
66,8,24,0.21,112,172
67,3,3,0.27,22,82
68,25,18,0.22,31,91
69,7,29,0.28,96,156
70,0,14,0.29,34,94
71,14,11,0.28,11,71
72,20,26,0.3,32,92
73,3,3,0.28,23,83
74,1,0,0.27,3,63
