ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,15,14,0.9,29,24,66,126
1,19,1,0.84,25,19,98,158
2,4,11,0.81,22,19,81,141
3,25,27,0.83,21,19,14,74
4,27,6,0.86,22,22,116,176
5,8,12,0.81,20,19,26,86
6,8,21,0.9,24,20,42,102
7,8,26,0.81,23,19,106,166
8,12,19,0.86,30,27,90,150
9,18,26,0.83,26,25,109,169
10,15,12,0.84,24,22,106,166
11,5,6,0.86,23,23,53,113
12,23,2,0.86,25,21,54,114
13,29,9,0.86,25,20,111,171
14,13,17,0.8,22,20,49,109
15,5,20,0.88,25,19,25,85
16,23,9,0.86,25,22,45,105
17,27,19,0.87,26,23,85,145
18,18,22,0.82,27,27,7,67
19,3,1,0.82,23,22,118,178
20,26,6,0.85,26,19,110,170
21,17,18,0.89,29,19,62,122
22,28,17,0.85,29,25,98,158
23,17,7,0.87,21,21,39,99
24,23,18,0.85,24,24,112,172
25,21,11,0.86,24,21,115,175
26,23,23,0.85,29,27,83,143
27,9,16,0.81,30,19,57,117
28,0,29,0.8,22,22,111,171
29,8,24,0.87,30,20,25,85
