ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,14,19,0.82,26,22,0,60
1,11,3,0.84,26,25,1,61
2,12,7,0.86,25,21,3,63
3,16,17,0.88,25,25,10,70
4,3,13,0.8,27,25,13,73
5,6,7,0.86,26,25,20,80
6,13,5,0.83,25,25,30,90
7,21,9,0.84,25,25,32,92
8,17,1,0.87,26,24,36,96
9,4,12,0.82,25,23,40,100
10,2,12,0.81,25,23,43,103
11,20,19,0.9,25,25,46,106
12,17,3,0.8,26,25,49,109
13,9,2,0.89,26,26,50,110
14,7,10,0.86,25,25,51,111
15,5,24,0.81,26,22,53,113
16,4,2,0.8,25,23,59,119
17,7,4,0.9,25,24,66,126
18,6,22,0.82,25,23,74,134
19,2,8,0.8,26,25,85,145
20,4,23,0.9,25,22,93,153
21,1,23,0.86,26,23,94,154
22,15,16,0.86,25,25,100,160
23,21,25,0.81,26,26,100,160
24,24,10,0.8,26,25,106,166
25,28,3,0.83,27,25,110,170
26,21,27,0.85,26,23,115,175
27,25,6,0.8,26,25,116,176
28,2,15,0.82,26,24,118,178
29,7,19,0.85,25,25,120,180
