ID,x,y,T_costPow
0,28,3,3
1,24,12,3
2,10,9,3
3,2,12,3
4,13,27,3
5,29,27,3
6,19,2,3
7,17,9,3
8,28,13,3
9,6,28,3
10,5,19,3
11,15,22,3
12,29,25,3
13,21,24,3
14,20,21,3
15,12,24,3
16,8,16,3
17,1,13,3
18,12,1,3
19,15,6,3
20,15,5,3
21,22,1,3
22,5,5,3
23,27,23,3
24,15,24,3
25,29,3,3
26,29,19,3
27,24,23,3
28,25,29,3
29,14,0,3
30,20,11,3
31,11,8,3
32,7,11,3
33,6,19,3
34,0,9,3
35,11,13,3
36,13,14,3
37,25,12,3
38,25,1,3
39,2,21,3
40,17,20,3
41,13,25,3
42,24,17,3
43,26,20,3
44,23,25,3
45,26,22,3
46,24,13,3
47,15,15,3
48,15,26,3
49,10,2,3
50,22,19,3
51,25,8,3
52,19,28,3
53,18,21,3
54,1,8,3
55,14,4,3
56,25,26,3
57,4,21,3
58,8,12,3
59,11,20,3
60,10,18,3
61,18,5,3
62,23,11,3
63,18,24,3
64,29,8,3
65,7,22,3
66,26,19,3
67,20,17,3
68,15,1,3
69,17,10,3
70,0,1,3
71,23,24,3
72,10,26,3
73,0,27,3
74,26,7,3
75,2,0,3
76,11,2,3
77,18,12,3
78,17,13,3
79,3,0,3
80,21,20,3
81,20,19,3
82,27,25,3
83,25,27,3
84,20,22,3
85,28,26,3
86,28,20,3
87,14,20,3
88,1,16,3
89,4,22,3
90,29,4,3
91,29,20,3
92,17,3,3
93,25,13,3
94,8,25,3
95,18,29,3
96,14,12,3
97,3,3,3
98,16,3,3
99,11,22,3
100,20,18,3
101,9,1,3
102,29,15,3
103,20,27,3
104,22,23,3
105,19,11,3
106,21,14,3
107,29,13,3
108,13,16,3
109,5,24,3
110,27,14,3
111,19,10,3
112,10,10,3
113,25,2,3
114,3,12,3
115,24,29,3
116,8,9,3
117,5,22,3
118,22,2,3
119,24,11,3
