ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,9,18,0.55,0,60,10
1,12,3,0.54,3,63,10
2,3,21,0.56,6,66,10
3,15,15,0.53,9,69,10
4,6,24,0.52,10,70,10
5,15,1,0.5,12,72,10
6,3,22,0.5,13,73,10
7,18,6,0.52,19,79,10
8,18,15,0.59,20,80,10
9,3,3,0.53,21,81,10
10,29,18,0.52,22,82,10
11,18,18,0.51,36,96,10
12,3,3,0.59,39,99,10
13,21,29,0.57,40,100,10
14,15,18,0.52,41,101,10
15,24,3,0.52,42,102,10
16,1,21,0.52,50,110,10
17,22,15,0.5,51,111,10
18,18,18,0.53,59,119,10
19,21,3,0.56,62,122,10
20,1,15,0.5,63,123,10
21,21,3,0.52,68,128,10
22,29,3,0.59,75,135,10
23,18,29,0.5,82,142,10
24,29,18,0.5,88,148,10
25,18,18,0.52,92,152,10
26,3,3,0.59,99,159,10
27,21,29,0.53,106,166,10
28,15,18,0.52,110,170,10
29,18,3,0.51,120,180,10
