ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,10,20,0.59,69,129,10
1,24,13,0.58,7,67,10
2,24,26,0.53,104,164,10
3,11,1,0.56,118,178,10
4,27,2,0.52,65,125,10
5,18,1,0.52,14,74,10
6,0,25,0.59,103,163,10
7,19,29,0.56,10,70,10
8,10,4,0.55,60,120,10
9,18,12,0.51,108,168,10
10,15,22,0.56,98,158,10
11,14,22,0.53,35,95,10
12,21,13,0.5,1,61,10
13,17,22,0.53,90,150,10
14,17,22,0.54,36,96,10
15,0,5,0.55,56,116,10
16,14,1,0.58,43,103,10
17,3,15,0.52,38,98,10
18,13,21,0.55,24,84,10
19,7,13,0.59,107,167,10
20,12,8,0.57,85,145,10
21,5,29,0.54,103,163,10
22,26,3,0.56,26,86,10
23,4,27,0.55,31,91,10
24,22,16,0.51,102,162,10
25,6,9,0.59,43,103,10
26,29,28,0.56,40,100,10
27,22,22,0.53,67,127,10
28,0,15,0.57,100,160,10
29,26,10,0.53,70,130,10
