ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,10,20,0.85,25,21,26,86
1,7,7,0.89,30,29,36,96
2,15,28,0.81,29,26,53,113
3,21,14,0.84,27,21,46,106
4,1,20,0.83,28,26,98,158
5,5,4,0.9,28,21,3,63
6,27,10,0.88,29,21,92,152
7,21,1,0.88,26,24,13,73
8,13,10,0.81,22,21,41,101
9,17,23,0.87,27,22,95,155
10,25,7,0.84,26,19,93,153
11,16,6,0.86,22,21,55,115
12,16,13,0.88,23,22,18,78
13,14,0,0.81,30,27,1,61
14,6,22,0.84,20,20,81,141
15,10,2,0.9,29,21,109,169
16,12,5,0.87,23,19,19,79
17,19,9,0.89,20,19,31,91
18,21,19,0.89,24,22,13,73
19,14,18,0.87,23,20,72,132
20,21,3,0.88,26,23,67,127
21,4,17,0.9,26,24,45,105
22,21,5,0.86,29,20,89,149
23,3,15,0.87,24,21,77,137
24,9,23,0.82,25,22,25,85
25,22,0,0.85,25,23,74,134
26,5,27,0.9,28,28,60,120
27,14,26,0.89,22,21,72,132
28,17,8,0.81,29,25,116,176
29,10,1,0.86,20,19,9,69
