ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,21,28,0.86,27,27,49,109
1,3,5,0.86,21,21,93,153
2,27,29,0.83,30,30,73,133
3,11,23,0.8,29,25,14,74
4,28,17,0.81,30,30,107,167
5,7,15,0.85,28,27,24,84
6,21,26,0.85,23,21,47,107
7,28,27,0.84,26,26,83,143
8,9,19,0.85,22,21,104,164
9,21,19,0.89,23,21,112,172
10,8,18,0.88,24,24,112,172
11,3,9,0.82,22,19,28,88
12,15,7,0.82,21,21,87,147
13,24,25,0.81,22,21,113,173
14,9,8,0.89,24,22,36,96
15,21,2,0.88,30,27,78,138
16,0,4,0.82,29,20,30,90
17,14,2,0.84,21,20,81,141
18,19,9,0.83,27,27,4,64
19,19,29,0.85,26,26,34,94
20,5,11,0.84,30,25,107,167
21,1,22,0.8,28,20,19,79
22,29,7,0.81,25,24,8,68
23,25,20,0.81,26,22,85,145
24,19,25,0.86,21,21,97,157
25,8,9,0.86,23,22,8,68
26,6,8,0.89,20,19,34,94
27,9,29,0.84,21,20,28,88
28,16,23,0.84,23,20,38,98
29,20,16,0.86,25,20,8,68
