ID,x,y,workerRge,W_uptime,W_downtime
0,2,10,0.22,30,90
1,28,25,0.25,103,163
2,21,19,0.26,110,170
3,29,24,0.23,111,171
4,8,18,0.21,118,178
5,0,5,0.27,30,90
6,9,27,0.22,4,64
7,18,24,0.28,95,155
8,4,10,0.29,85,145
9,15,25,0.24,49,109
10,28,5,0.3,67,127
11,2,25,0.29,17,77
12,11,20,0.3,37,97
13,16,23,0.24,65,125
14,28,4,0.22,25,85
15,27,8,0.28,7,67
16,0,4,0.22,2,62
17,19,9,0.2,35,95
18,5,11,0.22,10,70
19,6,8,0.28,30,90
20,19,5,0.28,39,99
21,25,14,0.25,16,76
22,10,21,0.22,79,139
23,24,12,0.29,48,108
24,24,13,0.2,106,166
25,24,10,0.26,41,101
26,6,1,0.27,107,167
27,19,1,0.26,86,146
28,9,25,0.27,11,71
29,6,17,0.27,2,62
30,8,14,0.27,115,175
31,12,11,0.29,91,151
32,9,12,0.25,104,164
33,5,2,0.27,20,80
34,11,5,0.3,87,147
35,14,17,0.25,14,74
36,20,16,0.21,33,93
37,9,10,0.29,69,129
38,4,25,0.24,22,82
39,4,24,0.29,114,174
40,21,21,0.27,57,117
41,22,26,0.26,20,80
42,21,1,0.26,5,65
43,13,8,0.26,85,145
44,20,12,0.24,73,133
45,6,27,0.25,41,101
46,5,20,0.23,33,93
47,24,4,0.26,22,82
48,18,19,0.23,101,161
49,14,28,0.22,24,84
