ID,x,y,workerRge,W_uptime,W_downtime
0,6,1,0.23,2,62
1,5,2,0.26,2,62
2,24,25,0.23,5,65
3,16,14,0.25,6,66
4,13,19,0.23,11,71
5,5,20,0.29,11,71
6,21,5,0.23,12,72
7,4,24,0.25,12,72
8,13,6,0.22,16,76
9,6,16,0.29,19,79
10,2,9,0.25,19,79
11,15,19,0.24,21,81
12,23,19,0.26,33,93
13,14,29,0.22,36,96
14,15,20,0.27,36,96
15,6,19,0.26,36,96
16,27,2,0.21,41,101
17,16,17,0.23,42,102
18,12,24,0.28,48,108
19,9,24,0.24,50,110
20,5,0,0.24,50,110
21,14,5,0.28,55,115
22,29,18,0.29,57,117
23,7,6,0.26,57,117
24,19,6,0.29,58,118
25,21,15,0.27,59,119
26,6,13,0.22,60,120
27,23,24,0.25,62,122
28,23,7,0.25,64,124
29,0,0,0.28,64,124
30,28,5,0.26,67,127
31,16,22,0.3,73,133
32,8,9,0.26,75,135
33,23,23,0.22,78,138
34,23,1,0.29,79,139
35,9,28,0.24,80,140
36,20,0,0.3,81,141
37,4,13,0.24,82,142
38,18,26,0.26,86,146
39,10,20,0.3,87,147
40,18,3,0.27,91,151
41,4,18,0.25,100,160
42,19,20,0.24,100,160
43,6,3,0.24,103,163
44,6,20,0.21,103,163
45,9,20,0.21,108,168
46,11,22,0.28,108,168
47,28,2,0.21,112,172
48,6,12,0.25,116,176
49,10,28,0.3,119,179
