ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,6,1,0.88,22,21,4,64
1,17,23,0.83,24,20,6,66
2,16,12,0.83,24,19,9,69
3,21,6,0.9,28,25,15,75
4,8,12,0.85,24,21,21,81
5,14,2,0.88,20,20,27,87
6,2,20,0.83,20,20,28,88
7,22,16,0.88,25,20,29,89
8,6,0,0.82,30,23,32,92
9,2,27,0.87,21,20,32,92
10,20,21,0.8,30,29,32,92
11,9,22,0.8,25,24,38,98
12,25,15,0.88,21,19,41,101
13,11,24,0.82,23,23,43,103
14,18,13,0.8,22,20,50,110
15,22,28,0.81,24,19,57,117
16,7,10,0.87,30,24,67,127
17,13,24,0.89,30,30,69,129
18,29,27,0.81,24,19,70,130
19,4,21,0.86,26,22,70,130
20,7,29,0.83,21,21,72,132
21,4,12,0.87,26,20,82,142
22,14,17,0.86,22,20,87,147
23,12,16,0.88,29,25,89,149
24,26,8,0.85,29,20,91,151
25,4,17,0.9,30,29,100,160
26,5,4,0.86,22,20,101,161
27,27,2,0.85,21,21,111,171
28,9,28,0.83,24,22,118,178
29,11,22,0.89,20,19,119,179
