ID,x,y,workerRge,W_uptime,W_downtime
0,10,7,0.23,6,66
1,19,1,0.21,98,158
2,26,24,0.21,98,158
3,3,20,0.23,106,166
4,2,26,0.24,37,97
5,14,18,0.26,10,70
6,14,28,0.24,27,87
7,1,3,0.22,46,106
8,20,4,0.25,97,157
9,9,0,0.21,41,101
10,23,16,0.24,109,169
11,8,22,0.27,57,117
12,3,7,0.29,44,104
13,18,23,0.29,10,70
14,9,12,0.21,29,89
15,26,12,0.22,22,82
16,10,7,0.23,116,176
17,23,10,0.25,97,157
18,16,6,0.21,68,128
19,17,27,0.27,46,106
20,24,6,0.2,70,130
21,8,6,0.2,57,117
22,17,2,0.25,38,98
23,23,29,0.23,40,100
24,7,13,0.26,74,134
25,15,9,0.23,111,171
26,14,29,0.25,62,122
27,10,16,0.21,23,83
28,26,27,0.21,66,126
29,13,18,0.26,46,106
30,4,4,0.24,115,175
31,25,6,0.28,105,165
32,16,26,0.26,90,150
33,17,28,0.27,38,98
34,29,29,0.26,91,151
35,20,2,0.28,62,122
36,8,28,0.22,103,163
37,23,24,0.28,117,177
38,10,26,0.23,26,86
39,15,11,0.2,41,101
40,17,17,0.29,74,134
41,28,18,0.27,102,162
42,3,5,0.2,28,88
43,27,15,0.21,78,138
44,16,17,0.22,8,68
45,16,24,0.28,61,121
46,22,1,0.23,112,172
47,2,25,0.27,62,122
48,11,2,0.23,116,176
49,0,1,0.23,41,101
