ID,x,y,workerRge,W_uptime,W_downtime
0,25,14,0.28,39,99
1,20,14,0.28,107,167
2,16,4,0.2,120,180
3,3,17,0.29,41,101
4,22,1,0.25,110,170
5,26,18,0.28,72,132
6,14,0,0.25,100,160
7,1,29,0.26,32,92
8,23,13,0.28,33,93
9,23,0,0.2,100,160
10,14,27,0.3,89,149
11,22,5,0.21,53,113
12,11,25,0.22,57,117
13,3,11,0.23,70,130
14,16,1,0.24,3,63
15,24,18,0.2,1,61
16,24,1,0.26,97,157
17,14,2,0.24,116,176
18,7,2,0.28,6,66
19,5,29,0.21,112,172
20,2,11,0.28,106,166
21,24,24,0.27,68,128
22,21,6,0.22,32,92
23,21,5,0.2,101,161
24,1,20,0.29,25,85
