ID,x,y,workerRge,W_uptime,W_downtime
0,25,9,0.24,55,115
1,9,14,0.25,0,60
2,7,8,0.29,115,175
3,18,18,0.27,93,153
4,4,14,0.21,51,111
5,7,9,0.26,75,135
6,12,2,0.21,86,146
7,15,3,0.27,95,155
8,24,25,0.27,37,97
9,13,4,0.21,117,177
10,19,8,0.22,52,112
11,21,10,0.22,96,156
12,10,14,0.27,115,175
13,19,23,0.22,24,84
14,24,13,0.3,29,89
15,28,3,0.27,111,171
16,18,29,0.2,8,68
17,7,18,0.3,89,149
18,6,16,0.28,35,95
19,5,19,0.29,99,159
20,25,13,0.24,86,146
21,23,1,0.28,94,154
22,23,12,0.23,100,160
23,13,22,0.27,53,113
24,8,11,0.25,75,135
25,19,11,0.26,105,165
26,3,11,0.28,42,102
27,22,28,0.28,71,131
28,9,5,0.3,93,153
29,10,29,0.22,98,158
30,7,10,0.28,97,157
31,13,3,0.3,108,168
32,6,22,0.23,71,131
33,2,22,0.29,89,149
34,18,0,0.27,66,126
35,10,5,0.25,86,146
36,4,23,0.3,109,169
37,18,25,0.28,61,121
38,3,25,0.27,61,121
39,25,13,0.3,115,175
40,5,12,0.27,95,155
41,18,3,0.22,14,74
42,18,28,0.26,101,161
43,5,19,0.21,3,63
44,15,13,0.26,35,95
45,17,11,0.23,43,103
46,5,21,0.28,69,129
47,28,3,0.23,59,119
48,8,7,0.24,15,75
49,10,24,0.27,102,162
