ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,18,18,0.86,27,22,81,141
1,20,12,0.84,30,27,95,155
2,21,21,0.89,28,23,43,103
3,14,25,0.89,30,30,89,149
4,14,22,0.8,27,21,4,64
5,27,9,0.88,29,26,74,134
6,7,24,0.85,28,21,87,147
7,0,10,0.86,29,26,98,158
8,7,27,0.89,25,25,89,149
9,5,20,0.88,25,24,78,138
10,23,3,0.9,22,19,104,164
11,29,27,0.87,27,27,112,172
12,13,19,0.84,27,27,46,106
13,14,7,0.87,20,19,74,134
14,1,23,0.88,27,22,22,82
15,24,17,0.84,28,27,82,142
16,20,7,0.81,25,22,102,162
17,24,15,0.88,21,19,108,168
18,16,15,0.87,27,20,9,69
19,19,23,0.86,30,25,65,125
20,5,22,0.82,26,25,67,127
21,27,3,0.89,24,23,2,62
22,9,5,0.8,29,25,64,124
23,26,20,0.85,28,26,43,103
24,22,1,0.87,25,24,31,91
25,11,18,0.86,24,22,62,122
26,13,12,0.85,23,19,20,80
27,4,27,0.9,23,20,8,68
28,28,6,0.87,25,21,23,83
29,2,28,0.8,27,20,39,99
