ID,x,y,T_costPow
0,28,12,3
1,14,28,3
2,21,25,3
3,29,9,3
4,6,20,3
5,13,20,3
6,14,29,3
7,27,9,3
8,24,0,3
9,22,24,3
10,16,13,3
11,5,20,3
12,11,11,3
13,6,24,3
14,2,0,3
15,26,14,3
16,0,24,3
17,19,22,3
18,26,20,3
19,25,22,3
20,1,16,3
21,13,22,3
22,26,27,3
23,19,18,3
24,10,3,3
25,16,6,3
26,13,2,3
27,0,8,3
28,12,24,3
29,10,15,3
30,21,19,3
31,3,7,3
32,25,15,3
33,10,22,3
34,5,24,3
35,9,24,3
36,19,24,3
37,0,1,3
38,12,8,3
39,20,24,3
40,11,8,3
41,28,9,3
42,29,16,3
43,17,18,3
44,18,14,3
45,15,21,3
46,14,10,3
47,22,20,3
48,28,5,3
49,9,14,3
50,8,10,3
51,19,21,3
52,8,6,3
53,15,29,3
54,22,25,3
55,21,8,3
56,18,10,3
57,9,2,3
58,9,8,3
59,25,21,3
60,17,28,3
61,7,7,3
62,5,11,3
63,20,25,3
64,11,18,3
65,14,21,3
66,26,29,3
67,16,16,3
68,26,25,3
69,15,26,3
70,4,11,3
71,18,27,3
72,6,7,3
73,19,8,3
74,12,9,3
75,22,8,3
76,1,25,3
77,22,27,3
78,28,19,3
79,9,29,3
80,27,14,3
81,27,15,3
82,17,5,3
83,5,9,3
84,28,8,3
85,0,15,3
86,8,4,3
87,4,0,3
88,4,16,3
89,23,23,3
90,7,19,3
91,16,3,3
92,2,25,3
93,17,21,3
94,0,25,3
95,13,23,3
96,11,21,3
97,3,1,3
98,6,25,3
99,22,21,3
100,5,26,3
101,3,18,3
102,12,19,3
103,14,11,3
104,7,16,3
105,5,2,3
106,20,9,3
107,10,9,3
108,0,9,3
109,23,19,3
110,10,21,3
111,26,18,3
112,10,2,3
113,6,10,3
114,13,12,3
115,15,13,3
116,2,5,3
117,18,3,3
118,26,24,3
119,19,14,3
