ID,x,y,workerRge,W_uptime,W_downtime
0,10,21,0.3,2,62
1,12,13,0.24,2,62
2,5,4,0.26,6,66
3,4,10,0.27,7,67
4,26,17,0.29,10,70
5,13,2,0.3,11,71
6,20,4,0.28,15,75
7,5,13,0.21,20,80
8,17,14,0.28,21,81
9,25,9,0.21,25,85
10,12,0,0.21,26,86
11,2,12,0.25,27,87
12,21,14,0.23,29,89
13,13,7,0.28,30,90
14,1,0,0.25,34,94
15,27,17,0.29,34,94
16,10,15,0.21,37,97
17,0,17,0.28,38,98
18,16,17,0.24,38,98
19,12,27,0.28,39,99
20,11,28,0.23,40,100
21,16,12,0.27,40,100
22,1,14,0.22,41,101
23,27,19,0.3,42,102
24,3,10,0.29,43,103
25,12,26,0.2,46,106
26,14,26,0.25,47,107
27,19,8,0.27,51,111
28,9,6,0.2,51,111
29,11,16,0.21,54,114
30,22,17,0.27,55,115
31,13,2,0.3,55,115
32,24,2,0.26,55,115
33,24,9,0.26,57,117
34,8,1,0.3,59,119
35,28,7,0.24,59,119
36,14,10,0.24,61,121
37,11,13,0.27,63,123
38,18,23,0.21,64,124
39,22,17,0.29,65,125
40,10,29,0.2,66,126
41,1,7,0.24,69,129
42,14,20,0.27,69,129
43,25,1,0.28,70,130
44,19,0,0.27,74,134
45,11,28,0.21,76,136
46,24,17,0.29,82,142
47,15,6,0.25,83,143
48,4,11,0.26,88,148
49,13,25,0.25,91,151
50,17,21,0.25,92,152
51,15,26,0.24,96,156
52,16,19,0.23,97,157
53,16,18,0.26,99,159
54,12,7,0.26,101,161
55,13,14,0.26,104,164
56,3,29,0.23,105,165
57,24,9,0.28,107,167
58,28,13,0.29,107,167
59,26,19,0.25,108,168
60,12,6,0.2,108,168
61,17,1,0.28,109,169
62,0,13,0.2,110,170
63,15,6,0.24,113,173
64,20,4,0.29,115,175
65,29,19,0.22,116,176
66,29,21,0.21,117,177
67,10,6,0.28,119,179
68,21,8,0.24,120,180
69,10,23,0.28,120,180
