ID,x,y,workerRge,W_uptime,W_downtime
0,5,7,0.29,88,148
1,11,11,0.25,11,71
2,4,17,0.25,118,178
3,16,25,0.27,100,160
4,13,29,0.23,21,81
5,4,20,0.24,18,78
6,11,16,0.28,85,145
7,25,26,0.25,55,115
8,28,13,0.3,81,141
9,15,9,0.22,88,148
10,2,23,0.27,5,65
11,2,5,0.25,86,146
12,23,7,0.23,111,171
13,25,15,0.28,69,129
14,27,18,0.29,61,121
15,21,14,0.29,13,73
16,22,10,0.2,29,89
17,7,20,0.23,2,62
18,21,26,0.3,26,86
19,17,20,0.29,111,171
20,10,4,0.24,105,165
21,11,7,0.24,99,159
22,12,18,0.22,54,114
23,18,13,0.25,43,103
24,2,0,0.25,31,91
25,7,21,0.29,87,147
26,13,26,0.3,18,78
27,11,4,0.23,68,128
28,23,23,0.27,57,117
29,20,27,0.29,115,175
30,1,16,0.3,63,123
31,3,14,0.21,44,104
32,28,22,0.21,97,157
33,11,6,0.3,116,176
34,28,15,0.22,42,102
35,23,13,0.21,112,172
36,14,13,0.27,65,125
37,18,3,0.24,95,155
38,21,14,0.26,40,100
39,25,21,0.24,86,146
40,6,16,0.21,12,72
41,24,12,0.3,72,132
42,13,8,0.25,83,143
43,7,27,0.28,74,134
44,21,11,0.23,12,72
45,17,27,0.23,73,133
46,1,3,0.25,109,169
47,15,6,0.24,15,75
48,24,3,0.26,49,109
49,16,10,0.29,113,173
