ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,23,9,0.87,28,19,21,81
1,21,5,0.9,29,22,73,133
2,25,13,0.85,21,19,104,164
3,24,27,0.82,27,26,115,175
4,5,28,0.8,21,20,115,175
5,28,7,0.86,22,22,116,176
6,7,19,0.81,21,19,69,129
7,20,16,0.84,23,23,25,85
8,2,18,0.9,21,20,111,171
9,22,6,0.89,30,27,49,109
10,25,19,0.88,23,23,60,120
11,7,7,0.82,29,25,88,148
12,14,2,0.89,29,20,65,125
13,2,4,0.82,23,19,81,141
14,23,13,0.84,21,20,46,106
15,26,6,0.86,22,19,98,158
16,10,9,0.82,22,21,5,65
17,21,28,0.86,22,22,44,104
18,21,12,0.83,21,19,52,112
19,8,11,0.89,22,19,24,84
20,1,11,0.86,22,22,28,88
21,2,25,0.89,23,22,37,97
22,23,0,0.88,25,20,7,67
23,19,1,0.84,22,20,111,171
24,4,10,0.87,21,21,47,107
25,9,20,0.86,27,27,13,73
26,14,13,0.84,29,29,96,156
27,17,14,0.86,20,20,44,104
28,0,27,0.83,21,20,101,161
29,26,2,0.82,29,20,114,174
