ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,17,14,0.88,25,23,3,63
1,3,21,0.84,28,20,9,69
2,33,17,0.9,30,28,17,77
3,25,24,0.82,30,21,18,78
4,1,19,0.85,22,22,20,80
5,35,14,0.9,22,22,20,80
6,25,38,0.89,26,19,23,83
7,34,39,0.82,28,21,32,92
8,1,8,0.85,23,21,34,94
9,38,13,0.82,21,21,37,97
10,36,0,0.8,26,24,70,130
11,9,24,0.89,25,19,70,130
12,21,13,0.87,24,22,74,134
13,11,13,0.87,25,19,77,137
14,22,19,0.87,29,21,77,137
15,7,9,0.89,24,23,80,140
16,39,9,0.9,27,26,81,141
17,32,6,0.82,22,19,82,142
18,36,3,0.84,21,21,85,145
19,13,28,0.87,20,20,95,155
20,18,11,0.8,22,21,105,165
21,31,10,0.82,29,22,107,167
22,38,30,0.8,23,20,107,167
23,12,30,0.89,23,23,110,170
24,35,12,0.88,27,20,110,170
25,39,8,0.89,30,23,111,171
26,20,13,0.81,25,21,114,174
27,19,38,0.8,26,24,115,175
28,28,1,0.9,30,23,117,177
29,32,29,0.85,20,19,118,178
