ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,22,9,0.84,25,19,0,60
1,5,8,0.81,30,25,3,63
2,7,24,0.89,30,28,5,65
3,16,10,0.83,21,19,16,76
4,7,24,0.85,26,20,17,77
5,20,12,0.81,24,21,20,80
6,25,16,0.87,24,23,25,85
7,6,10,0.83,28,28,33,93
8,28,24,0.9,22,20,37,97
9,22,3,0.88,30,26,41,101
10,18,26,0.81,25,24,52,112
11,8,29,0.83,23,20,55,115
12,18,18,0.81,27,22,56,116
13,24,4,0.88,26,21,56,116
14,9,11,0.89,25,19,58,118
15,8,1,0.83,20,19,77,137
16,18,27,0.88,23,21,81,141
17,21,13,0.9,28,21,83,143
18,0,2,0.82,21,19,83,143
19,29,6,0.81,23,22,91,151
20,13,26,0.83,28,19,100,160
21,11,7,0.82,25,23,101,161
22,12,10,0.82,22,21,105,165
23,4,26,0.86,26,21,113,173
24,21,16,0.82,25,20,116,176
25,1,5,0.85,25,22,116,176
26,22,8,0.86,22,21,116,176
27,9,28,0.88,25,25,117,177
28,22,6,0.87,26,19,119,179
29,24,1,0.81,30,26,120,180
