ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,20,6,0.89,20,19,0,60
1,19,24,0.82,22,20,1,61
2,9,28,0.83,25,24,10,70
3,10,21,0.89,22,20,15,75
4,21,10,0.89,20,20,17,77
5,2,6,0.89,21,19,22,82
6,23,8,0.84,29,24,24,84
7,27,21,0.82,28,21,28,88
8,15,27,0.83,30,30,28,88
9,20,0,0.81,23,19,29,89
10,1,21,0.82,26,24,31,91
11,13,19,0.86,22,20,33,93
12,1,11,0.88,28,24,35,95
13,5,10,0.87,23,21,36,96
14,22,7,0.84,24,20,39,99
15,22,29,0.82,28,19,39,99
16,22,21,0.86,26,24,44,104
17,2,12,0.83,24,24,48,108
18,13,5,0.86,24,24,49,109
19,8,6,0.87,27,25,49,109
20,19,14,0.89,29,23,55,115
21,23,16,0.82,22,21,60,120
22,10,2,0.82,25,19,65,125
23,0,15,0.83,29,21,71,131
24,4,16,0.81,25,24,85,145
25,27,17,0.81,25,21,98,158
26,29,1,0.83,29,22,109,169
27,17,12,0.8,25,19,114,174
28,8,15,0.88,27,27,116,176
29,2,19,0.86,27,22,119,179
