ID,x,y,workerRge,W_uptime,W_downtime
0,18,14,0.29,0,60
1,21,7,0.26,0,60
2,4,24,0.3,0,60
3,14,15,0.29,1,61
4,3,20,0.29,13,73
5,15,18,0.26,13,73
6,26,28,0.27,16,76
7,27,7,0.23,20,80
8,3,23,0.25,20,80
9,27,6,0.23,28,88
10,6,13,0.22,29,89
11,2,21,0.23,32,92
12,17,27,0.3,32,92
13,27,13,0.22,36,96
14,26,21,0.21,38,98
15,13,27,0.28,40,100
16,7,12,0.21,42,102
17,16,6,0.23,45,105
18,2,7,0.26,47,107
19,11,14,0.25,49,109
20,12,7,0.26,50,110
21,19,16,0.22,51,111
22,25,2,0.27,51,111
23,18,25,0.25,52,112
24,22,17,0.21,54,114
25,26,9,0.22,57,117
26,4,14,0.23,58,118
27,22,10,0.28,62,122
28,24,11,0.22,65,125
29,0,26,0.21,66,126
30,28,1,0.29,70,130
31,9,19,0.28,73,133
32,13,7,0.24,75,135
33,7,18,0.3,77,137
34,11,13,0.29,83,143
35,15,14,0.27,84,144
36,4,5,0.29,91,151
37,6,20,0.25,91,151
38,11,12,0.27,91,151
39,11,12,0.29,92,152
40,19,23,0.25,93,153
41,18,28,0.27,94,154
42,2,14,0.26,95,155
43,15,24,0.25,95,155
44,25,11,0.24,96,156
45,8,22,0.28,100,160
46,28,23,0.27,105,165
47,24,8,0.28,115,175
48,16,19,0.25,116,176
49,4,26,0.24,117,177
