ID,x,y,workerRge,W_uptime,W_downtime
0,20,28,0.2,42,102
1,3,25,0.27,35,95
2,9,4,0.27,103,163
3,21,19,0.24,89,149
4,24,11,0.24,19,79
5,18,14,0.21,86,146
6,1,19,0.21,108,168
7,0,2,0.28,86,146
8,9,12,0.23,79,139
9,28,27,0.24,40,100
10,7,19,0.23,95,155
11,13,22,0.29,107,167
12,26,23,0.22,91,151
13,7,2,0.21,74,134
14,1,28,0.2,13,73
15,11,27,0.22,72,132
16,20,11,0.29,14,74
17,29,22,0.29,113,173
18,22,18,0.26,4,64
19,14,29,0.24,104,164
20,14,14,0.28,16,76
21,28,5,0.25,83,143
22,8,0,0.22,69,129
23,23,26,0.28,111,171
24,19,13,0.21,33,93
25,8,25,0.27,50,110
26,29,1,0.24,36,96
27,17,8,0.25,41,101
28,3,10,0.25,29,89
29,22,21,0.29,45,105
30,8,28,0.25,39,99
31,19,22,0.26,103,163
32,9,11,0.24,84,144
33,13,21,0.28,25,85
34,14,29,0.27,93,153
35,6,21,0.29,84,144
36,23,22,0.23,98,158
37,16,2,0.28,52,112
38,23,23,0.28,89,149
39,10,18,0.29,103,163
40,18,1,0.25,86,146
41,25,11,0.21,10,70
42,23,20,0.24,25,85
43,16,24,0.2,49,109
44,15,6,0.26,37,97
45,9,29,0.28,51,111
46,28,12,0.24,25,85
47,21,27,0.23,65,125
48,15,2,0.29,83,143
49,13,13,0.22,114,174
