ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,21,21,0.83,28,26,31,91
1,3,12,0.81,23,21,111,171
2,7,5,0.82,22,20,7,67
3,20,27,0.82,20,19,19,79
4,25,14,0.83,29,22,15,75
5,7,5,0.84,20,20,0,60
6,29,13,0.84,29,24,53,113
7,9,26,0.87,25,22,101,161
8,2,29,0.87,22,22,32,92
9,7,13,0.82,23,22,14,74
10,8,16,0.83,26,19,65,125
11,0,0,0.88,22,22,48,108
12,27,7,0.87,23,21,22,82
13,2,22,0.87,28,21,62,122
14,18,19,0.89,23,21,62,122
15,7,3,0.88,25,19,112,172
16,13,12,0.82,29,29,74,134
17,5,11,0.81,24,20,44,104
18,23,10,0.89,27,26,10,70
19,12,12,0.88,26,19,26,86
20,17,27,0.82,23,21,110,170
21,22,19,0.84,21,20,97,157
22,2,21,0.87,22,20,95,155
23,17,21,0.84,21,20,34,94
24,29,8,0.86,28,28,69,129
25,17,5,0.89,28,19,38,98
26,9,5,0.89,23,19,77,137
27,6,17,0.84,23,19,107,167
28,26,26,0.86,22,19,6,66
29,0,25,0.83,28,21,86,146
