ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,16,30,0.89,23,19,0,60
1,84,38,0.84,25,19,90,150
2,1,17,0.84,26,23,89,149
3,73,7,0.87,20,19,31,91
4,59,34,0.84,20,20,63,123
5,25,65,0.82,26,20,77,137
6,77,6,0.82,22,22,49,109
7,76,47,0.85,24,24,56,116
8,104,72,0.85,26,23,110,170
9,74,108,0.81,20,19,100,160
10,82,93,0.84,30,30,72,132
11,55,75,0.86,20,19,23,83
12,116,23,0.84,28,22,100,160
13,74,105,0.88,25,19,104,164
14,43,94,0.88,29,19,12,72
15,58,12,0.8,27,25,3,63
16,94,7,0.88,22,20,85,145
17,16,62,0.85,23,21,76,136
18,25,116,0.85,20,20,56,116
19,63,106,0.9,29,29,6,66
20,72,41,0.83,24,19,95,155
21,103,15,0.89,21,19,93,153
22,25,118,0.88,25,24,80,140
23,118,57,0.86,27,22,58,118
24,46,103,0.86,25,24,68,128
25,66,79,0.82,23,19,68,128
26,99,77,0.83,26,19,26,86
27,54,68,0.87,22,20,2,62
28,29,102,0.87,27,25,106,166
29,93,46,0.87,30,24,101,161
30,37,100,0.87,29,26,76,136
31,41,94,0.84,22,22,66,126
32,100,27,0.84,22,21,89,149
33,110,18,0.8,24,21,101,161
34,91,92,0.8,30,28,54,114
35,96,105,0.89,21,21,42,102
36,111,103,0.81,30,29,112,172
37,16,82,0.87,23,21,15,75
38,37,104,0.84,29,21,76,136
39,57,87,0.8,30,29,51,111
40,0,19,0.83,20,19,83,143
41,72,117,0.81,27,26,18,78
42,73,13,0.81,21,19,49,109
43,58,78,0.81,23,20,62,122
44,6,19,0.9,29,28,45,105
45,58,119,0.85,20,19,115,175
46,83,40,0.86,26,19,31,91
47,93,104,0.86,25,19,2,62
48,37,17,0.81,20,20,74,134
49,41,116,0.85,27,21,101,161
50,102,61,0.87,26,26,25,85
51,50,46,0.88,30,24,31,91
52,119,38,0.81,25,21,114,174
53,7,8,0.87,29,29,57,117
54,98,23,0.88,25,20,19,79
55,112,0,0.83,27,22,48,108
56,107,85,0.85,23,23,94,154
57,105,2,0.89,20,19,107,167
58,42,44,0.89,20,19,33,93
59,101,113,0.81,21,20,49,109
60,77,99,0.87,24,23,35,95
61,74,108,0.81,23,19,72,132
62,114,23,0.9,29,23,68,128
63,114,65,0.81,26,22,84,144
64,20,34,0.87,27,23,84,144
65,61,33,0.81,23,20,6,66
66,110,13,0.84,20,20,22,82
67,81,21,0.83,21,20,69,129
68,76,84,0.89,30,19,25,85
69,99,81,0.89,22,22,103,163
70,12,8,0.89,22,19,51,111
71,77,40,0.88,30,22,114,174
72,31,56,0.82,25,19,76,136
73,3,68,0.8,22,21,53,113
74,29,49,0.8,25,25,96,156
75,67,109,0.85,22,19,28,88
76,8,99,0.8,21,20,79,139
77,91,21,0.81,20,20,85,145
78,83,13,0.88,30,25,86,146
79,86,60,0.88,26,26,113,173
80,10,59,0.83,29,24,82,142
81,73,14,0.84,21,20,89,149
82,24,13,0.83,24,23,107,167
83,34,60,0.81,30,30,3,63
84,63,51,0.87,22,22,60,120
85,2,49,0.83,30,28,73,133
86,117,63,0.86,21,19,89,149
87,93,90,0.81,28,26,87,147
88,75,96,0.9,23,20,69,129
89,36,48,0.9,26,20,94,154
90,29,59,0.8,28,21,68,128
91,0,59,0.88,29,19,69,129
92,71,113,0.88,26,20,21,81
93,6,58,0.88,30,26,20,80
94,59,113,0.81,24,20,103,163
95,80,14,0.86,22,20,56,116
96,61,49,0.8,26,24,97,157
97,47,41,0.88,20,19,52,112
98,14,7,0.88,23,21,119,179
99,59,14,0.88,20,20,74,134
100,95,17,0.82,27,25,73,133
101,18,8,0.87,29,29,70,130
102,96,114,0.86,27,27,116,176
103,27,94,0.82,22,19,5,65
