ID,x,y,T_costPow
0,40,63,3
1,101,21,3
2,110,116,3
3,69,29,3
4,81,87,3
5,22,1,3
6,63,110,3
7,36,33,3
8,19,9,3
9,19,109,3
10,2,52,3
11,19,7,3
12,108,4,3
13,26,66,3
14,6,109,3
15,82,2,3
16,64,45,3
17,48,103,3
18,94,51,3
19,39,14,3
20,101,50,3
21,56,10,3
22,114,75,3
23,95,60,3
24,13,105,3
25,21,55,3
26,69,101,3
27,113,109,3
28,66,56,3
29,117,111,3
30,34,92,3
31,112,91,3
32,39,23,3
33,95,51,3
34,27,60,3
35,106,40,3
36,25,86,3
37,75,48,3
38,47,39,3
39,6,112,3
40,99,53,3
41,10,23,3
42,11,30,3
43,18,68,3
44,9,94,3
45,53,20,3
46,95,69,3
47,38,45,3
48,22,42,3
49,53,52,3
50,84,99,3
51,29,12,3
52,102,52,3
53,95,88,3
54,111,36,3
55,71,91,3
56,68,115,3
57,23,78,3
58,83,110,3
59,48,8,3
60,95,48,3
61,12,5,3
62,0,56,3
63,117,13,3
64,41,86,3
65,23,56,3
66,23,44,3
67,13,97,3
68,102,44,3
69,89,70,3
70,115,85,3
71,65,106,3
72,35,112,3
73,83,17,3
74,85,42,3
75,117,85,3
76,22,107,3
77,22,9,3
78,51,99,3
79,98,77,3
80,27,12,3
81,26,62,3
82,6,86,3
83,94,14,3
84,53,112,3
85,48,25,3
86,69,95,3
87,49,23,3
88,34,63,3
89,69,116,3
90,73,24,3
91,12,104,3
92,109,80,3
93,70,11,3
94,74,98,3
95,21,35,3
96,77,90,3
97,27,26,3
98,78,107,3
99,36,105,3
100,109,30,3
101,56,66,3
102,66,2,3
103,0,66,3
104,113,118,3
105,53,7,3
106,74,33,3
107,84,87,3
108,2,48,3
109,78,119,3
110,75,11,3
111,108,62,3
112,8,44,3
113,46,62,3
114,92,57,3
115,80,13,3
116,18,37,3
117,115,25,3
118,14,29,3
119,99,62,3
120,2,16,3
121,115,65,3
122,44,13,3
123,117,34,3
124,37,99,3
125,25,30,3
126,70,15,3
127,1,55,3
128,61,0,3
129,72,19,3
130,9,75,3
131,68,24,3
132,82,79,3
133,32,33,3
134,51,34,3
135,97,12,3
136,118,80,3
137,29,43,3
138,37,36,3
139,32,4,3
140,0,7,3
141,99,8,3
142,58,79,3
143,15,90,3
144,26,10,3
145,91,33,3
146,95,83,3
147,52,21,3
148,12,2,3
149,80,52,3
150,58,38,3
151,27,65,3
152,25,52,3
153,95,10,3
154,95,14,3
155,53,102,3
156,47,72,3
157,117,59,3
158,53,53,3
159,46,40,3
160,102,100,3
161,46,71,3
162,78,26,3
163,37,44,3
164,87,9,3
165,110,48,3
166,101,19,3
167,5,5,3
168,82,93,3
169,5,96,3
170,65,110,3
171,90,31,3
172,33,89,3
173,29,70,3
174,94,114,3
175,8,69,3
176,110,100,3
177,33,24,3
178,109,40,3
179,33,43,3
180,76,49,3
181,100,8,3
182,1,20,3
183,78,73,3
184,52,54,3
185,110,10,3
186,96,97,3
187,91,70,3
188,4,49,3
189,18,5,3
190,106,30,3
191,61,6,3
192,61,15,3
193,57,17,3
194,85,60,3
195,118,29,3
196,3,62,3
197,42,1,3
198,102,56,3
199,119,87,3
200,18,40,3
201,8,91,3
202,5,76,3
203,41,8,3
204,82,9,3
205,93,96,3
206,33,107,3
207,68,89,3
208,12,94,3
209,5,72,3
210,20,14,3
211,0,31,3
212,24,12,3
213,53,117,3
214,78,103,3
215,17,95,3
216,101,59,3
217,5,24,3
218,79,91,3
219,94,98,3
220,42,64,3
221,91,74,3
222,117,69,3
223,12,26,3
224,54,13,3
225,35,79,3
226,76,5,3
227,85,81,3
228,70,21,3
229,44,44,3
230,16,69,3
231,22,59,3
232,44,41,3
233,56,87,3
234,31,70,3
235,77,17,3
236,45,67,3
237,31,99,3
238,65,30,3
239,58,119,3
240,56,100,3
241,69,11,3
242,78,76,3
243,10,30,3
244,59,90,3
245,47,116,3
246,19,73,3
247,62,42,3
248,3,99,3
249,18,87,3
250,11,92,3
251,78,18,3
252,25,17,3
253,28,11,3
254,112,8,3
255,25,116,3
256,52,113,3
257,28,16,3
258,102,87,3
259,62,104,3
260,60,74,3
261,49,82,3
262,35,98,3
263,66,44,3
264,44,49,3
265,67,79,3
266,82,54,3
267,72,46,3
268,68,78,3
269,72,86,3
270,10,108,3
271,21,26,3
272,71,63,3
273,32,108,3
274,97,91,3
275,96,119,3
276,108,37,3
277,68,10,3
278,34,118,3
279,43,42,3
280,100,84,3
281,10,11,3
282,106,100,3
283,55,72,3
284,49,50,3
285,53,1,3
286,11,57,3
287,22,25,3
288,6,93,3
289,104,73,3
290,107,48,3
291,72,71,3
292,54,24,3
293,7,36,3
294,93,39,3
295,75,47,3
296,108,36,3
297,29,117,3
298,23,2,3
299,46,100,3
300,73,54,3
301,68,117,3
302,12,47,3
303,70,106,3
304,59,70,3
305,55,102,3
306,46,9,3
307,31,87,3
308,12,30,3
309,76,9,3
310,101,4,3
311,39,12,3
312,98,109,3
313,51,63,3
314,34,32,3
315,14,30,3
316,18,78,3
317,95,102,3
318,56,118,3
319,6,16,3
320,41,65,3
321,55,119,3
322,4,37,3
323,43,116,3
324,96,9,3
325,83,19,3
326,50,28,3
327,15,89,3
328,114,86,3
329,24,64,3
330,36,76,3
331,0,23,3
332,21,111,3
333,91,59,3
334,88,56,3
335,41,116,3
336,43,35,3
337,103,14,3
338,75,7,3
339,23,54,3
340,45,49,3
341,43,22,3
342,73,86,3
343,86,117,3
344,53,25,3
345,28,65,3
346,7,1,3
347,80,104,3
348,51,78,3
349,2,71,3
350,107,116,3
351,81,57,3
352,90,115,3
353,20,85,3
354,15,93,3
355,33,8,3
356,50,114,3
357,60,64,3
358,116,10,3
359,87,13,3
360,64,49,3
361,84,85,3
362,75,72,3
363,15,37,3
364,11,69,3
365,119,48,3
366,24,69,3
367,6,80,3
368,29,9,3
369,115,76,3
370,97,53,3
371,61,1,3
372,10,113,3
373,115,118,3
374,96,25,3
375,111,55,3
376,12,64,3
377,49,81,3
378,58,37,3
379,105,100,3
380,115,60,3
381,87,105,3
382,34,62,3
383,38,88,3
384,97,11,3
385,101,56,3
386,37,98,3
387,61,31,3
388,43,88,3
389,33,56,3
390,25,88,3
391,35,4,3
392,113,112,3
393,19,30,3
394,48,90,3
395,70,71,3
396,18,73,3
397,103,76,3
398,108,35,3
399,63,85,3
400,17,1,3
401,111,17,3
402,6,49,3
403,10,75,3
404,114,114,3
405,8,97,3
406,84,61,3
407,41,13,3
408,22,96,3
409,96,18,3
410,78,11,3
411,107,59,3
412,32,88,3
413,67,112,3
414,115,109,3
415,102,9,3
416,49,105,3
417,50,10,3
418,111,56,3
419,70,115,3
420,71,4,3
421,21,22,3
422,14,72,3
423,90,52,3
424,8,75,3
425,62,39,3
426,57,98,3
427,38,103,3
428,33,53,3
429,63,25,3
430,66,9,3
431,82,59,3
432,24,19,3
433,87,118,3
434,54,67,3
435,26,30,3
436,83,105,3
437,95,47,3
438,5,41,3
439,106,3,3
440,86,34,3
441,75,19,3
442,117,103,3
443,98,1,3
444,33,27,3
445,43,72,3
446,52,50,3
447,105,57,3
448,67,105,3
449,77,23,3
450,60,68,3
451,65,40,3
452,78,65,3
453,64,22,3
454,112,72,3
455,64,20,3
456,97,98,3
457,44,31,3
458,72,51,3
459,40,49,3
460,95,24,3
461,109,73,3
462,67,90,3
463,4,93,3
464,36,80,3
465,91,12,3
466,114,65,3
467,4,31,3
468,117,55,3
469,48,62,3
470,56,71,3
471,37,43,3
472,33,15,3
473,12,117,3
474,81,84,3
475,3,0,3
476,72,64,3
477,39,43,3
478,4,53,3
479,25,45,3
480,63,41,3
481,19,25,3
482,44,1,3
483,92,6,3
484,15,79,3
485,18,31,3
486,100,70,3
487,90,34,3
488,81,52,3
489,96,81,3
490,29,105,3
491,3,77,3
492,81,118,3
493,85,89,3
494,52,29,3
495,64,62,3
496,79,14,3
497,44,48,3
498,2,17,3
499,57,57,3
500,25,103,3
501,17,59,3
502,91,119,3
503,119,10,3
504,25,65,3
505,110,118,3
506,99,5,3
507,13,104,3
508,39,91,3
509,25,12,3
510,109,87,3
511,49,89,3
512,106,64,3
513,49,84,3
514,26,72,3
515,97,23,3
516,38,115,3
517,42,54,3
518,91,45,3
519,114,0,3
520,52,53,3
521,81,79,3
522,67,89,3
523,70,73,3
524,60,10,3
525,113,111,3
526,79,41,3
527,102,8,3
528,52,78,3
529,87,106,3
530,34,96,3
531,68,81,3
532,35,19,3
533,2,114,3
534,48,69,3
535,31,35,3
536,4,77,3
537,20,56,3
538,67,35,3
539,88,21,3
540,24,91,3
541,47,77,3
542,96,68,3
543,77,112,3
544,9,8,3
545,85,88,3
546,28,39,3
547,60,88,3
548,27,9,3
549,43,60,3
550,42,115,3
551,46,78,3
552,35,46,3
553,93,20,3
554,31,37,3
555,41,102,3
556,83,89,3
557,92,24,3
558,50,39,3
559,93,86,3
560,8,30,3
561,86,96,3
562,43,112,3
563,42,98,3
564,87,92,3
565,79,27,3
566,90,92,3
567,80,48,3
568,30,117,3
569,108,65,3
570,5,44,3
571,0,53,3
572,69,90,3
573,80,61,3
574,86,101,3
575,65,26,3
576,63,38,3
577,115,55,3
578,25,56,3
579,56,43,3
580,2,109,3
581,18,58,3
582,77,87,3
583,47,96,3
584,62,34,3
585,17,48,3
586,16,0,3
587,80,54,3
588,22,49,3
589,22,57,3
590,3,86,3
591,112,30,3
592,86,27,3
593,47,30,3
594,10,87,3
595,75,42,3
596,102,31,3
597,46,34,3
598,86,93,3
599,51,111,3
