ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,6,21,0.56,0,60,10
1,5,15,0.6,64,124,10
2,10,5,0.51,84,144,10
3,7,21,0.55,15,75,10
4,19,4,0.57,75,135,10
5,21,2,0.59,33,93,10
6,13,26,0.53,70,130,10
7,0,3,0.51,106,166,10
8,0,1,0.5,72,132,10
9,12,21,0.53,91,151,10
10,1,12,0.59,119,179,10
11,9,28,0.57,7,67,10
12,11,6,0.55,90,150,10
13,3,25,0.52,30,90,10
14,15,19,0.6,120,180,10
15,29,11,0.54,10,70,10
16,5,15,0.51,38,98,10
17,12,25,0.57,55,115,10
18,11,14,0.54,61,121,10
19,3,26,0.54,12,72,10
