ID,x,y,workerRge,W_uptime,W_downtime
0,20,13,0.3,51,111
1,0,27,0.29,26,86
2,2,7,0.28,53,113
3,26,11,0.24,61,121
4,13,27,0.29,62,122
5,29,12,0.24,37,97
6,15,0,0.27,106,166
7,12,9,0.23,0,60
8,27,17,0.21,117,177
9,8,22,0.29,76,136
10,21,21,0.3,76,136
11,6,20,0.28,86,146
12,19,13,0.23,50,110
13,13,10,0.23,63,123
14,9,15,0.24,71,131
15,9,9,0.22,119,179
16,29,27,0.24,98,158
17,5,29,0.29,78,138
18,1,28,0.21,85,145
19,17,7,0.3,53,113
20,29,13,0.28,78,138
21,24,18,0.24,13,73
22,29,12,0.22,62,122
23,17,13,0.26,73,133
24,0,28,0.2,44,104
25,12,1,0.28,67,127
26,15,8,0.22,95,155
27,7,19,0.28,51,111
28,28,21,0.22,41,101
29,8,22,0.28,1,61
30,3,14,0.21,32,92
31,4,21,0.22,10,70
32,11,21,0.29,20,80
33,24,4,0.3,80,140
34,22,12,0.28,48,108
35,16,21,0.24,33,93
36,8,27,0.21,11,71
37,7,29,0.28,115,175
38,19,22,0.21,116,176
39,17,25,0.21,92,152
40,18,3,0.22,96,156
41,12,5,0.26,103,163
42,10,27,0.28,27,87
43,20,28,0.22,89,149
44,12,14,0.27,100,160
45,26,19,0.3,76,136
46,14,2,0.24,23,83
47,25,16,0.22,105,165
48,28,5,0.24,47,107
49,13,9,0.22,16,76
