ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,10,10,0.57,86,146,10
1,21,13,0.59,4,64,10
2,19,28,0.55,41,101,10
3,22,16,0.58,79,139,10
4,8,15,0.59,8,68,10
5,16,8,0.56,13,73,10
6,7,2,0.5,1,61,10
7,13,11,0.52,66,126,10
8,1,19,0.56,45,105,10
9,14,12,0.6,42,102,10
10,4,0,0.53,17,77,10
11,27,29,0.57,64,124,10
12,13,17,0.52,35,95,10
13,4,21,0.54,24,84,10
14,14,14,0.55,66,126,10
15,25,15,0.52,55,115,10
16,26,13,0.58,114,174,10
17,20,1,0.53,26,86,10
18,3,16,0.51,44,104,10
19,21,13,0.59,39,99,10
20,18,1,0.59,13,73,10
21,20,12,0.6,87,147,10
22,12,6,0.54,99,159,10
23,21,12,0.57,6,66,10
24,5,15,0.6,10,70,10
25,22,8,0.52,0,60,10
26,11,19,0.59,101,161,10
27,1,3,0.51,12,72,10
28,19,24,0.59,30,90,10
29,14,5,0.57,92,152,10
