ID,x,y,workerRge,W_uptime,W_downtime
0,17,32,0.22,0,60
1,38,38,0.27,1,61
2,11,1,0.26,3,63
3,16,39,0.23,5,65
4,4,21,0.28,6,66
5,28,0,0.21,8,68
6,36,9,0.2,16,76
7,7,17,0.2,27,87
8,33,0,0.23,31,91
9,2,31,0.22,38,98
10,30,29,0.23,39,99
11,37,34,0.22,45,105
12,26,37,0.27,46,106
13,13,13,0.26,48,108
14,7,33,0.3,49,109
15,14,39,0.26,50,110
16,17,31,0.29,50,110
17,36,2,0.24,52,112
18,9,34,0.28,53,113
19,16,37,0.27,54,114
20,25,11,0.29,55,115
21,25,1,0.29,59,119
22,37,32,0.23,60,120
23,6,20,0.21,63,123
24,29,15,0.24,65,125
25,25,18,0.25,66,126
26,30,0,0.28,67,127
27,15,33,0.22,73,133
28,21,5,0.28,74,134
29,7,2,0.26,76,136
30,15,18,0.21,76,136
31,10,39,0.22,82,142
32,28,17,0.25,83,143
33,5,13,0.23,89,149
34,28,0,0.29,90,150
35,7,19,0.26,91,151
36,25,28,0.23,93,153
37,6,31,0.29,93,153
38,15,37,0.23,98,158
39,36,31,0.22,99,159
40,37,0,0.24,99,159
41,14,33,0.22,100,160
42,37,0,0.23,101,161
43,11,18,0.26,102,162
44,24,30,0.25,102,162
45,15,36,0.26,112,172
46,14,32,0.29,115,175
47,28,38,0.29,115,175
48,24,1,0.24,116,176
49,35,14,0.25,119,179
