ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,29,27,0.51,48,128,10
1,9,27,0.54,58,138,10
2,16,18,0.51,36,116,10
3,13,3,0.56,59,139,10
4,20,21,0.6,75,155,10
5,0,1,0.51,54,134,10
6,20,25,0.52,24,104,10
7,1,18,0.52,51,131,10
8,16,27,0.59,79,159,10
9,26,28,0.52,79,159,10
10,8,16,0.59,70,150,10
11,3,14,0.59,52,132,10
12,14,3,0.51,45,125,10
13,6,6,0.55,45,125,10
14,26,12,0.6,16,96,10
15,2,21,0.6,44,124,10
16,3,20,0.52,76,156,10
17,26,26,0.59,88,168,10
18,27,17,0.54,1,81,10
19,24,1,0.57,82,162,10
