ID,x,y,workerRge,W_uptime,W_downtime
0,22,3,0.29,86,166
1,9,3,0.29,75,155
2,16,2,0.27,70,150
3,18,16,0.23,98,178
4,7,29,0.25,84,164
5,16,6,0.23,44,124
6,7,18,0.22,30,110
7,21,5,0.27,96,176
8,15,11,0.25,61,141
9,4,6,0.3,0,80
10,8,11,0.22,65,145
11,26,19,0.29,59,139
12,4,24,0.23,17,97
13,26,4,0.29,9,89
14,4,8,0.22,5,85
15,7,6,0.2,81,161
16,14,24,0.21,83,163
17,6,0,0.25,82,162
18,22,3,0.27,46,126
19,12,18,0.22,52,132
20,10,27,0.22,52,132
21,23,18,0.27,71,151
22,5,21,0.25,75,155
23,9,19,0.21,59,139
24,4,1,0.28,8,88
25,4,25,0.2,72,152
26,2,22,0.28,51,131
27,7,11,0.26,16,96
28,13,14,0.27,52,132
29,21,0,0.29,46,126
30,0,12,0.29,81,161
31,19,8,0.28,42,122
32,21,0,0.28,44,124
33,26,4,0.21,38,118
34,19,17,0.21,65,145
35,28,17,0.28,37,117
36,25,28,0.28,31,111
37,21,16,0.2,21,101
38,19,25,0.27,33,113
39,2,11,0.21,21,101
40,13,12,0.25,7,87
41,27,19,0.27,1,81
42,18,9,0.26,89,169
43,17,19,0.21,76,156
44,11,17,0.28,29,109
45,21,17,0.28,48,128
46,14,8,0.26,27,107
47,11,10,0.29,12,92
48,3,29,0.27,72,152
49,16,1,0.2,2,82
