ID,x,y,workerRge,W_uptime,W_downtime
0,29,7,0.27,1,61
1,12,25,0.28,3,61
2,13,13,0.21,7,67
3,21,1,0.21,14,74
4,9,21,0.25,19,79
5,10,21,0.22,23,83
6,8,10,0.21,29,89
7,15,19,0.2,31,91
8,27,20,0.24,38,98
9,24,23,0.25,47,107
10,20,29,0.21,48,108
11,2,10,0.22,50,110
12,23,23,0.29,51,111
13,1,5,0.21,53,113
14,27,10,0.24,54,114
15,21,10,0.29,61,121
16,18,2,0.28,72,132
17,25,21,0.28,81,141
18,10,27,0.21,85,145
19,15,11,0.23,87,147
20,4,19,0.3,97,157
21,7,25,0.29,97,157
22,15,16,0.23,104,164
23,26,24,0.26,107,167
24,29,26,0.21,117,177
