ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,6,3,0.58,22,82,10
1,12,10,0.57,58,118,10
2,27,22,0.51,17,77,10
3,5,15,0.55,107,167,10
4,17,12,0.5,62,122,10
5,9,25,0.51,57,117,10
6,12,3,0.58,56,116,10
7,8,5,0.57,99,159,10
8,23,3,0.59,25,85,10
9,0,0,0.51,77,137,10
10,27,12,0.57,10,70,10
11,3,16,0.55,4,64,10
12,16,8,0.54,77,137,10
13,14,1,0.56,50,110,10
14,28,5,0.55,21,81,10
15,17,21,0.6,114,174,10
16,29,1,0.51,98,158,10
17,5,26,0.53,96,156,10
18,13,15,0.59,11,71,10
19,16,12,0.52,59,119,10
