ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,3,19,0.59,55,115,10.4
1,7,16,0.54,107,167,11.8
2,10,26,0.55,26,86,10.5
3,17,24,0.55,2,62,11.4
4,25,12,0.54,119,179,11.7
5,12,4,0.5,14,74,10.3
6,23,23,0.57,9,69,10.3
7,19,10,0.51,26,86,11.7
8,9,16,0.58,79,139,10.6
9,27,7,0.54,26,86,10.0
10,17,5,0.57,116,176,10.1
11,15,0,0.52,4,64,10.1
12,11,16,0.57,114,174,11.5
13,1,21,0.52,31,91,10.7
14,7,17,0.57,23,83,10.4
15,2,1,0.59,30,90,11.1
16,25,7,0.56,87,147,11.5
17,14,12,0.58,97,157,10.0
18,4,27,0.59,37,97,10.2
19,13,15,0.5,85,145,11.9
