ID,x,y,workerRge,W_uptime,W_downtime
0,0,26,0.21,66,126
1,16,19,0.25,116,176
2,27,7,0.23,20,80
3,2,21,0.23,32,92
4,7,12,0.21,42,102
5,15,14,0.27,84,144
6,18,28,0.27,94,154
7,3,20,0.29,13,73
8,7,18,0.3,77,137
9,15,18,0.26,13,73
10,22,17,0.21,54,114
11,8,22,0.28,100,160
12,22,10,0.28,62,122
13,4,5,0.29,91,151
14,27,6,0.23,28,88
15,13,7,0.24,75,135
16,9,19,0.28,73,133
17,19,16,0.22,51,111
18,2,14,0.26,95,155
19,2,7,0.26,47,107
20,18,25,0.25,52,112
21,4,26,0.24,117,177
22,15,24,0.25,95,155
23,16,6,0.23,45,105
24,26,28,0.27,16,76
25,24,11,0.22,65,125
26,11,14,0.25,49,109
27,25,2,0.27,51,111
28,18,14,0.29,0,60
29,6,20,0.25,91,151
30,11,13,0.29,83,143
31,19,23,0.25,93,153
32,25,11,0.24,96,156
33,23,8,0.26,0,60
34,27,13,0.22,36,96
35,12,7,0.26,50,110
36,4,14,0.23,58,118
37,11,12,0.29,92,152
38,11,12,0.27,91,151
39,26,21,0.21,38,98
40,13,27,0.28,40,100
41,28,23,0.27,105,165
42,28,1,0.29,70,130
43,6,13,0.22,29,89
44,26,9,0.22,57,117
45,17,27,0.3,32,92
46,3,23,0.25,20,80
47,14,15,0.29,1,61
48,24,8,0.28,115,175
49,4,24,0.3,0,60
