ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,14,24,0.82,30,20,104,164
1,0,15,0.89,23,21,96,156
2,0,1,0.89,25,25,45,105
3,18,12,0.8,25,19,56,116
4,10,3,0.82,27,24,38,98
5,4,17,0.84,24,22,79,139
6,5,24,0.84,20,20,116,176
7,6,28,0.83,26,20,87,147
8,25,11,0.84,30,19,26,86
9,1,1,0.86,25,20,10,70
10,13,10,0.83,26,20,57,117
11,11,9,0.9,21,21,14,74
12,29,12,0.88,21,20,15,75
13,19,3,0.9,23,21,60,120
14,9,26,0.9,21,21,61,121
15,24,18,0.83,28,27,26,86
16,14,21,0.8,28,27,9,69
17,1,15,0.89,29,22,3,63
18,18,25,0.87,30,28,40,100
19,16,24,0.82,28,24,57,117
20,9,2,0.85,30,20,119,179
21,20,9,0.89,25,25,35,95
22,24,21,0.86,22,22,13,73
23,14,3,0.88,22,22,32,92
24,6,9,0.84,21,20,15,75
25,7,9,0.86,27,26,35,95
26,1,18,0.88,27,26,2,62
27,22,12,0.81,21,21,37,97
28,16,5,0.85,23,23,25,85
29,7,10,0.84,24,19,38,98
