ID,x,y,T_costPow
0,20,29,4.2
1,20,6,4.9
2,23,16,4.5
3,20,27,4.3
4,15,15,4.8
5,10,17,4.7
6,24,7,4.8
7,4,3,4.9
8,3,11,4.8
9,17,4,4.6
10,11,20,4.7
11,11,23,4.3
12,5,8,4.8
13,7,4,4.7
14,0,7,4.3
15,8,3,4.8
16,10,24,4.7
17,5,24,4.8
18,24,12,4.9
19,23,19,4.3
20,13,29,4.6
21,14,6,4.6
22,15,11,4.5
23,12,23,4.9
24,7,28,4.3
25,18,6,4.8
26,3,9,4.7
27,13,25,4.8
28,5,24,4.3
29,6,27,4.6
30,2,5,4.6
31,6,10,4.5
32,9,10,4.9
33,18,25,4.3
34,14,21,4.8
35,5,18,4.7
36,28,25,4.8
37,18,21,4.8
38,25,10,4.6
39,9,4,4.7
40,11,9,4.3
41,2,18,4.8
42,15,28,4.7
43,23,13,5
44,28,6,4.9
45,27,9,4
46,14,5,4.3
47,3,24,4.3
48,5,27,4.6
49,4,22,4.6
50,5,15,4.5
51,19,24,4.9
52,20,4,4.3
53,12,7,4.8
54,24,25,4.7
55,2,0,4.8
56,5,10,5
57,14,14,4.3
58,11,10,4.8
59,22,10,4.7
60,9,7,4.8
61,17,6,4.9
62,26,11,4.8
63,4,5,4.8
64,16,20,4.7
65,7,10,4.8
66,11,12,4.9
67,1,8,4.8
68,4,22,4.8
69,1,16,4.9
70,9,14,4.8
71,2,15,4.8
72,10,20,4.7
73,28,7,4.8
74,5,11,4.9
75,27,24,4.8
76,14,20,4.9
77,24,16,4.8
78,26,28,4
79,7,10,4
