ID,x,y,workerRge,W_uptime,W_downtime
0,36,31,0.22,99,159
1,28,0,0.29,90,150
2,24,1,0.24,116,176
3,36,9,0.2,16,76
4,7,26,0.2,27,87
5,38,38,0.27,1,61
6,14,39,0.26,50,110
7,14,32,0.29,115,175
8,16,39,0.23,5,65
9,28,17,0.25,83,143
10,15,37,0.23,98,158
11,9,34,0.28,53,113
12,5,13,0.23,89,149
13,4,21,0.28,6,66
14,13,21,0.26,112,172
15,15,33,0.22,73,133
16,0,5,0.26,102,162
17,24,30,0.25,102,162
18,16,37,0.27,54,114
19,25,1,0.29,59,119
20,28,0,0.21,8,68
21,25,28,0.23,93,153
22,30,0,0.28,67,127
23,26,37,0.27,46,106
24,14,33,0.22,100,160
25,36,16,0.28,74,134
26,17,31,0.29,50,110
27,37,32,0.23,60,120
28,7,2,0.26,76,136
29,36,3,0.29,115,175
30,2,31,0.22,38,98
31,13,13,0.26,48,108
32,7,19,0.26,91,151
33,37,34,0.22,45,105
34,3,23,0.23,101,161
35,25,11,0.29,55,115
36,36,2,0.24,52,112
37,6,31,0.29,93,153
38,37,0,0.24,99,159
39,15,18,0.21,76,136
40,17,32,0.22,0,60
41,30,29,0.23,39,99
42,7,33,0.3,49,109
43,29,15,0.24,65,125
44,33,0,0.23,31,91
45,25,18,0.25,66,126
46,11,1,0.26,3,63
47,10,39,0.22,82,142
48,19,26,0.25,116,176
49,6,20,0.21,63,123
