ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,10,24,0.89,26,19,41,101
1,8,28,0.89,27,23,88,148
2,11,22,0.81,23,20,49,109
3,23,16,0.83,29,25,22,82
4,3,18,0.87,22,21,36,96
5,8,14,0.82,20,20,25,85
6,2,20,0.89,21,19,29,89
7,19,5,0.82,22,21,88,148
8,16,5,0.87,23,23,60,120
9,6,9,0.81,28,28,34,94
10,19,18,0.88,20,20,117,177
11,17,28,0.86,28,28,14,74
12,21,6,0.82,29,24,24,84
13,16,19,0.89,25,23,59,119
14,6,17,0.86,21,20,94,154
15,10,13,0.89,25,20,51,111
16,5,24,0.81,27,19,108,168
17,9,13,0.89,26,25,93,153
18,1,9,0.82,23,23,32,92
19,10,16,0.85,26,23,33,93
20,2,0,0.87,30,23,35,95
21,7,16,0.86,27,20,109,169
22,4,29,0.88,22,19,104,164
23,1,25,0.81,27,24,61,121
24,8,6,0.85,26,26,3,63
25,19,24,0.81,26,23,71,131
26,19,13,0.82,20,19,47,107
27,0,13,0.86,23,21,66,126
28,23,26,0.85,26,22,11,71
29,17,8,0.84,22,21,116,176
