ID,x,y,workerRge,W_uptime,W_downtime
0,11,27,0.26,60,120
1,27,1,0.29,43,103
2,12,4,0.21,8,68
3,8,6,0.29,97,157
4,23,9,0.21,66,126
5,14,5,0.3,60,120
6,23,22,0.24,6,66
7,4,19,0.26,117,177
8,3,26,0.25,7,67
9,15,28,0.23,54,114
10,23,4,0.28,24,84
11,29,15,0.26,17,77
12,10,15,0.24,101,161
13,22,13,0.22,53,113
14,25,20,0.24,96,156
15,2,25,0.26,37,97
16,22,16,0.26,102,162
17,0,19,0.23,85,145
18,0,1,0.27,79,139
19,3,26,0.3,89,149
20,18,0,0.21,100,160
21,6,8,0.23,116,176
22,13,27,0.26,45,105
23,1,12,0.25,98,158
24,20,19,0.22,101,161
25,18,27,0.22,9,69
26,11,20,0.3,44,104
27,15,10,0.25,60,120
28,6,18,0.24,7,67
29,25,6,0.28,84,144
30,5,13,0.29,87,147
31,28,29,0.21,116,176
32,26,15,0.28,48,108
33,19,2,0.28,75,135
34,18,12,0.27,80,140
35,17,0,0.22,40,100
36,6,12,0.23,50,110
37,6,7,0.24,47,107
38,14,13,0.25,47,107
39,7,26,0.25,11,71
40,3,19,0.25,111,171
41,14,19,0.22,103,163
42,2,20,0.2,115,175
43,22,15,0.27,120,180
44,14,8,0.24,114,174
45,11,5,0.22,59,119
46,29,26,0.29,78,138
47,20,24,0.21,92,152
48,10,18,0.22,77,137
49,16,19,0.2,90,150
