ID,x,y,T_costPow
0,25,7,3
1,24,1,3
2,22,20,3
3,24,21,3
4,12,3,3
5,14,17,3
6,5,20,3
7,13,2,3
8,3,14,3
9,7,15,3
10,23,21,3
11,7,7,3
12,24,7,3
13,17,26,3
14,5,28,3
15,3,29,3
16,16,1,3
17,13,22,3
18,5,19,3
19,25,2,3
20,27,8,3
21,26,24,3
22,14,15,3
23,16,4,3
24,3,3,3
25,17,25,3
26,6,17,3
27,28,10,3
28,0,9,3
29,1,16,3
30,28,1,3
31,27,8,3
32,11,22,3
33,27,24,3
34,27,27,3
35,13,13,3
36,19,18,3
37,21,4,3
38,2,0,3
39,12,11,3
40,21,18,3
41,15,9,3
42,28,14,3
43,11,19,3
44,10,28,3
45,28,28,3
46,17,6,3
47,21,24,3
48,28,19,3
49,29,22,3
50,15,12,3
51,28,3,3
52,11,4,3
53,20,10,3
54,18,20,3
55,15,0,3
56,8,14,3
57,10,28,3
58,10,6,3
59,13,7,3
60,28,2,3
61,6,12,3
62,26,19,3
63,2,14,3
64,7,6,3
65,20,10,3
66,4,12,3
67,4,24,3
68,17,28,3
69,1,21,3
70,19,9,3
71,1,16,3
72,7,27,3
73,22,18,3
74,22,23,3
75,17,4,3
76,22,2,3
77,26,19,3
78,17,24,3
79,28,13,3
