ID,x,y,workerRge,W_uptime,W_downtime
0,123,26,0.23,12,72
1,53,13,0.29,112,172
2,47,25,0.22,15,75
3,143,109,0.27,89,149
4,57,60,0.29,50,110
5,146,104,0.24,60,120
6,134,10,0.27,9,69
7,7,112,0.2,117,177
8,59,137,0.24,32,92
9,67,101,0.29,28,88
10,33,108,0.23,38,98
11,86,38,0.23,33,93
12,11,122,0.29,76,136
13,18,4,0.28,85,145
14,100,94,0.24,18,78
15,86,102,0.23,103,163
16,116,77,0.22,117,177
17,87,28,0.25,31,91
18,105,48,0.22,90,150
19,113,56,0.29,102,162
20,49,114,0.25,94,154
21,45,19,0.26,40,100
22,124,59,0.21,109,169
23,25,60,0.23,110,170
24,3,131,0.26,46,106
25,134,96,0.28,39,99
26,32,80,0.3,101,161
27,144,7,0.29,2,62
28,69,31,0.21,15,75
29,84,53,0.25,101,161
30,29,86,0.26,35,95
31,28,101,0.26,54,114
32,4,136,0.22,28,88
33,55,75,0.26,58,118
34,84,7,0.27,44,104
35,10,1,0.23,10,70
36,76,113,0.22,23,83
37,36,60,0.24,91,151
38,112,117,0.24,11,71
39,103,32,0.25,114,174
40,47,123,0.21,52,112
41,65,29,0.24,119,179
42,139,66,0.27,91,151
43,92,28,0.25,30,90
44,100,130,0.3,88,148
45,92,7,0.26,90,150
46,94,78,0.25,33,93
47,148,100,0.26,85,145
48,68,92,0.2,108,168
49,20,55,0.21,30,90
50,65,95,0.26,99,159
51,3,52,0.25,39,99
52,135,74,0.27,81,141
53,19,123,0.29,63,123
54,140,102,0.21,105,165
55,69,81,0.2,27,87
56,108,88,0.21,79,139
57,122,83,0.27,26,86
58,88,23,0.27,94,154
59,14,142,0.26,106,166
60,58,141,0.28,78,138
61,80,45,0.22,24,84
62,111,109,0.23,113,173
63,58,58,0.26,15,75
64,94,36,0.24,69,129
65,132,6,0.25,108,168
66,38,144,0.23,54,114
67,32,0,0.24,46,106
68,111,77,0.21,96,156
69,22,70,0.2,73,133
70,17,7,0.29,110,170
71,48,56,0.23,14,74
72,137,89,0.29,80,140
73,60,145,0.22,83,143
74,129,69,0.2,41,101
75,15,59,0.24,52,112
76,81,80,0.26,51,111
77,85,131,0.29,18,78
78,15,63,0.26,31,91
79,84,12,0.29,78,138
80,23,83,0.24,81,141
