ID,x,y,carRge,C_uptime,C_downtime,C_chargePow
0,68,85,0.57,99,159,10
1,120,10,0.59,109,169,10
2,30,122,0.54,14,74,10
3,87,97,0.51,82,142,10
4,55,34,0.51,73,133,10
5,48,55,0.59,59,119,10
6,112,119,0.6,116,176,10
7,31,96,0.57,75,135,10
8,91,17,0.55,82,142,10
9,143,133,0.52,38,98,10
10,92,74,0.58,107,167,10
11,15,126,0.51,65,125,10
12,38,31,0.56,95,155,10
13,134,16,0.59,94,154,10
14,92,31,0.5,104,164,10
15,54,38,0.54,30,90,10
16,129,55,0.55,71,131,10
17,73,62,0.52,10,70,10
18,115,110,0.52,6,66,10
19,120,134,0.51,18,78,10
20,96,84,0.51,92,152,10
21,31,95,0.52,81,141,10
22,128,109,0.58,27,87,10
23,19,94,0.57,7,67,10
24,131,33,0.53,80,140,10
25,12,119,0.54,38,98,10
26,128,71,0.52,92,152,10
27,50,43,0.56,20,80,10
28,5,32,0.52,45,105,10
29,43,78,0.53,116,176,10
30,63,85,0.51,50,110,10
31,112,104,0.51,11,71,10
32,33,108,0.59,113,173,10
33,34,95,0.57,65,125,10
34,142,45,0.55,23,83,10
35,32,95,0.55,6,66,10
36,117,62,0.54,92,152,10
37,7,124,0.54,66,126,10
38,127,65,0.52,43,103,10
39,86,119,0.55,10,70,10
40,39,65,0.58,6,66,10
41,128,26,0.52,38,98,10
42,103,69,0.53,29,89,10
43,123,108,0.56,36,96,10
44,3,38,0.52,17,77,10
45,69,100,0.58,115,175,10
46,32,118,0.56,83,143,10
47,81,137,0.56,39,99,10
48,92,75,0.57,69,129,10
49,57,58,0.56,115,175,10
50,62,132,0.6,64,124,10
51,142,70,0.56,75,135,10
52,105,90,0.54,57,117,10
53,99,76,0.52,106,166,10
54,72,41,0.57,103,163,10
55,27,74,0.59,94,154,10
56,118,138,0.55,113,173,10
57,55,83,0.51,104,164,10
58,71,48,0.55,49,109,10
59,14,99,0.52,32,92,10
60,65,124,0.56,88,148,10
61,83,79,0.55,43,103,10
62,94,0,0.56,16,76,10
63,103,53,0.57,116,176,10
64,50,14,0.57,109,169,10
65,75,108,0.54,25,85,10
66,5,15,0.53,112,172,10
67,142,116,0.52,31,91,10
68,13,136,0.51,88,148,10
69,12,29,0.56,106,166,10
70,76,90,0.55,0,60,10
71,26,0,0.59,44,104,10
72,54,112,0.58,21,81,10
73,76,46,0.55,110,170,10
74,121,13,0.52,26,86,10
75,39,133,0.52,101,161,10
76,34,8,0.6,77,137,10
77,63,99,0.52,68,128,10
78,70,74,0.52,100,160,10
79,140,111,0.56,25,85,10
80,106,65,0.52,87,147,10
81,142,123,0.58,72,132,10
82,27,14,0.59,70,130,10
83,24,111,0.54,47,107,10
84,135,132,0.57,102,162,10
85,117,25,0.53,89,149,10
86,51,47,0.59,41,101,10
87,67,70,0.53,52,112,10
88,103,24,0.55,85,145,10
89,105,84,0.56,46,106,10
90,107,67,0.51,7,67,10
91,27,49,0.52,43,103,10
92,128,4,0.54,100,160,10
93,12,139,0.58,20,80,10
94,148,20,0.57,32,92,10
95,112,24,0.58,63,123,10
96,77,122,0.55,72,132,10
97,49,49,0.52,85,145,10
98,141,79,0.55,5,65,10
99,105,47,0.57,29,89,10
100,54,16,0.53,112,172,10
101,95,78,0.59,106,166,10
102,20,121,0.55,36,96,10
103,31,108,0.51,80,140,10
104,132,128,0.56,34,94,10
105,94,120,0.6,53,113,10
106,92,51,0.55,23,83,10
107,135,86,0.53,38,98,10
108,6,14,0.51,27,87,10
109,58,40,0.59,41,101,10
110,32,87,0.51,80,140,10
111,40,40,0.54,11,71,10
112,122,3,0.53,35,95,10
113,33,129,0.56,51,111,10
114,71,106,0.53,77,137,10
115,43,108,0.53,73,133,10
116,6,69,0.56,63,123,10
117,148,143,0.54,65,125,10
118,92,7,0.57,115,175,10
119,13,28,0.54,83,143,10
120,129,123,0.51,97,157,10
121,135,82,0.51,3,63,10
122,136,41,0.54,108,168,10
123,22,22,0.58,3,63,10
124,121,8,0.51,12,72,10
125,60,68,0.57,87,147,10
126,80,96,0.54,59,119,10
127,56,59,0.58,59,119,10
128,58,66,0.54,91,151,10
129,118,76,0.6,82,142,10
130,5,149,0.54,64,124,10
131,7,147,0.51,39,99,10
132,95,137,0.52,29,89,10
133,41,19,0.57,16,76,10
134,59,24,0.51,17,77,10
135,67,71,0.53,60,120,10
136,120,37,0.55,29,89,10
137,61,66,0.6,115,175,10
138,57,144,0.54,55,115,10
139,105,93,0.54,83,143,10
140,59,40,0.54,117,177,10
141,114,14,0.58,78,138,10
142,126,112,0.51,113,173,10
143,6,68,0.57,72,132,10
144,145,36,0.56,101,161,10
145,141,93,0.58,107,167,10
146,48,53,0.51,4,64,10
147,61,79,0.52,79,139,10
148,113,51,0.58,37,97,10
149,69,41,0.53,1,61,10
150,57,15,0.54,38,98,10
151,67,68,0.59,60,120,10
152,120,122,0.58,57,117,10
153,23,9,0.53,85,145,10
154,133,6,0.5,6,66,10
155,12,81,0.59,50,110,10
156,38,135,0.5,62,122,10
157,60,103,0.55,16,76,10
158,28,132,0.5,67,127,10
159,3,107,0.56,6,66,10
160,123,5,0.55,45,105,10
161,80,95,0.52,69,129,10
162,0,139,0.5,109,169,10
163,4,132,0.52,3,63,10
164,135,3,0.57,51,111,10
165,122,140,0.51,90,150,10
166,67,134,0.5,76,136,10
167,89,121,0.53,2,62,10
168,83,134,0.55,95,155,10
169,51,64,0.55,119,179,10
170,30,72,0.55,104,164,10
