ID,x,y,T_costPow
0,29,6,4
1,22,16,4
2,11,20,4
3,22,20,4
4,1,23,4
5,21,21,4
6,2,19,4
7,11,28,4
8,7,9,4
9,25,26,4
10,15,11,4
11,16,21,4
12,20,10,4
13,19,25,4
14,0,21,4
15,11,3,4
16,20,24,4
17,16,13,4
18,17,0,4
19,27,12,4
20,0,15,4
21,25,13,4
22,0,16,4
23,4,1,4
24,18,29,4
25,26,9,4
26,15,4,4
27,3,11,4
28,3,8,4
29,16,4,4
30,13,12,4
31,22,12,4
32,29,11,4
33,28,3,4
34,13,0,4
35,27,11,4
36,19,15,4
37,18,9,4
38,0,27,4
39,14,13,4
40,22,25,4
41,3,10,4
42,0,20,4
43,21,8,4
44,24,3,4
45,6,29,4
46,18,12,4
47,10,10,4
48,5,9,4
49,19,28,4
50,26,21,4
51,9,12,4
52,5,17,4
53,11,17,4
54,4,22,4
55,10,0,4
56,11,4,4
57,0,7,4
58,1,19,4
59,21,16,4
60,7,20,4
61,8,15,4
62,18,15,4
63,14,1,4
64,12,24,4
65,11,2,4
66,12,22,4
67,2,12,4
68,23,16,4
69,25,22,4
70,26,23,4
71,28,13,4
72,4,14,4
73,29,10,4
74,9,20,4
75,12,19,4
76,5,4,4
77,3,1,4
78,16,18,4
79,9,2,4
80,15,14,4
81,23,11,4
82,7,5,4
83,20,3,4
84,25,25,4
85,2,13,4
86,22,19,4
87,1,17,4
88,15,16,4
89,28,19,4
90,1,15,4
91,12,17,4
92,21,17,4
93,4,23,4
94,27,5,4
95,0,18,4
96,21,24,4
97,9,3,4
98,8,4,4
99,18,8,4
100,22,23,4
101,4,12,4
102,10,18,4
103,21,27,4
104,12,29,4
105,0,26,4
106,11,8,4
107,14,16,4
108,27,2,4
109,23,14,4
110,4,2,4
111,11,15,4
112,25,1,4
113,19,29,4
114,23,13,4
115,6,2,4
116,23,9,4
117,3,14,4
118,19,7,4
119,1,5,4
