ID,x,y,uavRge,Fullpower,uPow,U_uptime,U_downtime
0,1,12,0.83,27,25,98,158
1,14,15,0.83,23,23,66,126
2,20,6,0.87,27,27,65,125
3,10,29,0.82,20,20,114,174
4,11,28,0.89,24,21,9,69
5,29,27,0.88,20,20,65,125
6,14,27,0.9,20,20,67,127
7,18,0,0.83,24,19,44,104
8,14,6,0.86,26,24,21,81
9,12,24,0.89,21,20,47,107
10,10,27,0.81,30,30,8,68
11,23,7,0.86,28,26,14,74
12,15,4,0.81,28,28,59,119
13,11,26,0.82,23,23,115,175
14,14,26,0.86,29,27,51,111
15,1,0,0.88,21,21,41,101
16,14,7,0.89,29,20,69,129
17,0,6,0.88,21,21,81,141
18,26,19,0.85,21,21,44,104
19,20,13,0.87,21,21,38,98
20,11,16,0.82,28,28,10,70
21,0,3,0.86,27,26,18,78
22,17,12,0.84,23,19,26,86
23,23,10,0.89,29,28,13,73
24,4,7,0.82,20,20,20,80
25,6,0,0.88,27,27,56,116
26,26,22,0.84,25,23,48,108
27,10,1,0.84,21,20,117,177
28,2,9,0.83,21,19,29,89
29,12,17,0.81,29,27,77,137
